molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL102116,CHEMBL102116,Nc1nc(N/N=C\C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,7.7,1,7.7,7.7,Ki,B,single protein format,single_protein,8,H,2002,
CHEMBL102859,CHEMBL102859,CCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CC)c1=O,,6.8,1,6.8,6.8,Ki,B,cell-based format,cell_based,9,D,2019,
CHEMBL103150,CHEMBL103150,CCCc1cc(O)c2ccc(C)nc2n1,,6.025,2,6.0,6.05,Ki,B,cell membrane format,other,8,H,2004,
CHEMBL103559,CHEMBL103559,CCOc1cc(-c2ccccc2)nc2nc(Br)ccc12,,6.01,1,6.01,6.01,Ki,B,cell membrane format,other,8,H,2004,
CHEMBL104999,CHEMBL104999,Cc1ccc2c(O)cc(-c3ccc(N)cc3)nc2n1,,6.63,2,6.3,6.96,Ki,B,cell membrane format,other,8,H,2004,
CHEMBL105000,CHEMBL105000,CSc1cc(-c2ccccc2)nc2nc(C)ccc12,,6.68,1,6.68,6.68,Ki,B,cell membrane format,other,8,H,2004,
CHEMBL106346,CHEMBL106346,Cc1ccc(-n2cc3c(n2)c(N)nc2ccccc23)cc1,,6.48,1,6.48,6.48,Ki,B,cell-based format,cell_based,9,D,2007,
CHEMBL106520,CHEMBL106520,c1ccc(-n2cc3c(n2)c(NC2CCCC2)nc2ccccc23)cc1,,6.07,1,6.07,6.07,Ki,B,cell membrane format,other,8,H,2000,
CHEMBL107446,CHEMBL107446,Cc1cccc(-n2cc3c(n2)c(N)nc2ccccc23)c1,,6.64,1,6.64,6.64,Ki,B,cell-based format,cell_based,9,D,2007,
CHEMBL1076503,CHEMBL1076503,O=C(NC1CC1)c1nc(NCc2cccnc2)nc2ccsc12,,6.15,1,6.15,6.15,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1076562,CHEMBL1076562,O=C(Nc1ccc(Br)c(-c2ccco2)n1)C1CC1,,7.46,1,7.46,7.46,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1076563,CHEMBL1076563,O=c1[nH]c2cc(-c3ccncn3)c(-c3ccco3)nc2[nH]1,,6.11,1,6.11,6.11,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1076587,CHEMBL1076587,O=C(Nc1ccc(-c2ccncc2)c(-c2cccc(F)c2)n1)C1CC1,,7.24,1,7.24,7.24,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1077751,CHEMBL1077751,Cc1ccc(C(=O)c2nc(N)nc3ccsc23)s1,,6.66,1,6.66,6.66,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1077752,CHEMBL1077752,CCNc1nc(C(=O)c2ccc(C)s2)c2sccc2n1,,6.9,1,6.9,6.9,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1077902,CHEMBL1077902,Cc1ccc(C(=O)c2nc(NCc3ccncn3)nc3ccsc23)s1,,6.94,1,6.94,6.94,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1077915,CHEMBL1077915,Cc1ccc(C(=O)c2nc(NC(C)c3ccccn3)nc3ccsc23)s1,,6.93,1,6.93,6.93,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1077943,CHEMBL1077943,CNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1,,6.285,2,6.01,6.56,IC50,F,assay format;cell-based format,cell_based,8;9,D;H,2009;2015,
CHEMBL1078001,CHEMBL1078001,Cc1ccc(C(=O)c2nc(NC(=O)c3cccnc3)nc3ccsc23)s1,,6.79,1,6.79,6.79,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1078085,CHEMBL1078085,Cc1ccc(C(=O)c2nc(NCCc3ccccn3)nc3ccsc23)s1,,6.46,1,6.46,6.46,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1078086,CHEMBL1078086,Cc1ccc(C(=O)c2nc(NCCc3cccnc3)nc3ccsc23)s1,,6.75,1,6.75,6.75,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1078348,CHEMBL1078348,Cc1ccc(C(=O)c2nc(NCc3ccccn3)nc3ccsc23)s1,,6.73,1,6.73,6.73,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1078349,CHEMBL1078349,Cc1ccc(C(=O)c2nc(NCc3cccnc3)nc3ccsc23)s1,,6.0,1,6.0,6.0,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1079043,CHEMBL1079043,O=C(c1nccs1)c1nc(NCc2cccnc2)nc2ccsc12,,6.13,1,6.13,6.13,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1079115,CHEMBL1079115,Cc1ccc(C(=O)c2nc(NC(C)c3cccnc3)nc3ccsc23)s1,,7.0,1,7.0,7.0,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1079118,CHEMBL1079118,O=C(c1cccs1)c1nc(NCc2cccnc2)nc2ccsc12,,7.29,1,7.29,7.29,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1079132,CHEMBL1079132,O=C(c1ccsc1)c1nc(NCc2cccnc2)nc2ccsc12,,6.39,1,6.39,6.39,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1079142,CHEMBL1079142,Cc1ccc(C(=O)c2nc(NCc3cccnc3)nc3ccsc23)cc1,,6.36,1,6.36,6.36,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1079232,CHEMBL1079232,COc1ccc(C(=O)c2nc(NCc3cccnc3)nc3ccsc23)cc1,,6.2,1,6.2,6.2,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1079801,CHEMBL1079801,N#Cc1ccc(NC(=O)C2CC2)nc1-c1ccco1,,7.92,1,7.92,7.92,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1079803,CHEMBL1079803,O=C(Nc1ccc(-c2ccncc2Cl)c(-c2ccco2)n1)C1CC1,,6.83,1,6.83,6.83,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1079804,CHEMBL1079804,O=C(Nc1ccc(-c2ccncc2F)c(-c2ccco2)n1)C1CC1,,6.82,1,6.82,6.82,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1079894,CHEMBL1079894,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sccc2n1)c1cccnc1,,6.33,1,6.33,6.33,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1080068,CHEMBL1080068,O=C(c1cccs1)c1nc(NCc2cccnc2)nc2cc(Cl)sc12,,7.21,1,7.21,7.21,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1080421,CHEMBL1080421,CCNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1,,6.14,1,6.14,6.14,IC50,F,assay format,other,8,H,2015,
CHEMBL1080497,CHEMBL1080497,O=c1[nH][nH]c2nc(-c3ccco3)c(-c3ccncn3)cc12,,6.75,1,6.75,6.75,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080512,CHEMBL1080512,c1coc(-c2nc3[nH]ccc3cc2-c2ccncn2)c1,,6.21,1,6.21,6.21,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080513,CHEMBL1080513,O=c1[nH]c(=O)c2cc(-c3ccncn3)c(-c3ccco3)nc2[nH]1,,6.74,1,6.74,6.74,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080676,CHEMBL1080676,O=C(Nc1ccc(-c2ccncc2)c(-c2cnco2)n1)C1CC1,,6.2,1,6.2,6.2,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081038,CHEMBL1081038,O=C(Nc1ccc(-c2ccncc2)c(-c2ccc(F)cc2)n1)C1CC1,,7.41,1,7.41,7.41,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081039,CHEMBL1081039,O=C(Nc1ccc(-c2ccncc2)c(-c2ccccn2)n1)C1CC1,,6.06,1,6.06,6.06,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081041,CHEMBL1081041,O=C(Nc1ccc(-c2ccncc2)c(-c2ccncc2)n1)C1CC1,,6.79,1,6.79,6.79,Ki,B,cell-based format,cell_based,9,D,2010,
