molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL2419139,CHEMBL2419139,CCn1c(/N=C/c2ccc(Br)cc2)c(C#N)sc1=S,,11.0,1,11.0,11.0,Ki,B,cell-based format,cell_based,9,D,2013,,352.28200000000004,4.683770000000003,41.08,0,4,3,2,2,0.15384615384615385,0.5942724394470463
CHEMBL1092271,CHEMBL1092271,C=CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,,10.8,1,10.8,10.8,Ki,B,cell-based format,cell_based,9,D,2010,,315.38300000000004,3.315990000000001,61.150000000000006,0,6,3,4,4,0.07692307692307693,0.4285843548184378
CHEMBL4167125,CHEMBL4167125,Nc1nc(NCc2cccnc2)nc2sc(-c3ccco3)nc12,,10.595,2,10.23,10.96,IC50,F,cell-based format,cell_based,9,D,2018,,324.369,2.935600000000001,102.75,2,8,4,4,4,0.06666666666666667,0.5945974118951455
CHEMBL2419146,CHEMBL2419146,CCCCn1c(/N=C/c2ccc(F)cc2)c(C#N)sc1=S,,10.57,1,10.57,10.57,Ki,B,cell-based format,cell_based,9,D,2013,,319.43,4.840570000000003,41.08,0,4,5,2,2,0.26666666666666666,0.5842163446655985
CHEMBL2419147,CHEMBL2419147,CCCn1c(/N=C/c2ccc(F)cc2)c(C#N)sc1=S,,10.52,1,10.52,10.52,Ki,B,cell-based format,cell_based,9,D,2013,,305.403,4.450470000000003,41.08,0,4,4,2,2,0.21428571428571427,0.6182641847431193
CHEMBL336608,CHEMBL336608,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4c[nH]cn4)nc32)[C@H](O)[C@@H]1O,,10.52,1,10.52,10.52,Ki,B,single protein format,single_protein,8,H,2000,,597.6800000000003,2.203299999999999,175.12999999999997,6,10,12,6,5,0.3225806451612903,0.1250756587581686
CHEMBL4161758,CHEMBL4161758,Nc1nc(NCc2cccs2)nc2sc(-c3ccco3)nc12,,10.44,1,10.44,10.44,IC50,F,cell-based format,cell_based,9,D,2018,,329.41,3.602100000000001,89.86,2,8,4,4,4,0.07142857142857142,0.5943538598489927
CHEMBL1090578,CHEMBL1090578,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1cccc(Cl)c1,,10.42,1,10.42,10.42,Ki,B,cell-based format,cell_based,9,D,2010,,385.8610000000001,4.772590000000003,61.15,0,6,2,5,5,0.0,0.40936124961046494
CHEMBL4172399,CHEMBL4172399,Nc1nc(NCc2ccco2)nc2sc(-c3ccco3)nc12,,10.4,1,10.4,10.4,IC50,F,cell-based format,cell_based,9,D,2018,,313.34200000000004,3.1336000000000013,103.0,2,8,4,4,4,0.07142857142857142,0.596216782530135
CHEMBL3121727,CHEMBL3121727,Cn1c(=O)c2[nH]c(-c3ccc(OCCCn4ccnc4)cc3)nc2n(C)c1=O,,10.38,1,10.38,10.38,Ki,B,cell-based format,cell_based,9,D,2014,,380.4080000000001,1.2929,99.72999999999999,1,5,6,4,4,0.2631578947368421,0.5083066072243638
CHEMBL3121725,CHEMBL3121725,Cn1c(=O)c2[nH]c(-c3ccc(OCCCCl)cc3)nc2n(C)c1=O,,10.35,1,10.35,10.35,Ki,B,cell-based format,cell_based,9,D,2014,,348.7900000000001,1.6349999999999998,81.91,1,4,5,3,3,0.3125,0.5610191430157145
CHEMBL4172264,CHEMBL4172264,Nc1nc(NCCc2cccs2)nc2sc(-c3ccco3)nc12,,10.35,1,10.35,10.35,IC50,F,cell-based format,cell_based,9,D,2018,,343.43700000000007,3.6446000000000014,89.86,2,8,5,4,4,0.13333333333333333,0.5747987422831738
CHEMBL337080,CHEMBL1184174,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(N[C@H]4CC[C@H](N)CC4)nc32)[C@H](O)[C@@H]1O,,10.3,1,10.3,10.3,Ki,B,single protein format,single_protein,8,H,2000,,600.7240000000003,2.507399999999999,172.46999999999997,6,10,10,6,4,0.4375,0.15882825367514197
CHEMBL3958838,CHEMBL3958838,COc1ccccc1CNc1nc(N)c2nc(-c3ccco3)sc2n1,,10.29,1,10.29,10.29,IC50,F,cell-based format,cell_based,9,D,2016,,353.40700000000004,3.5492000000000017,99.09,2,8,5,4,4,0.11764705882352941,0.5658171492220154
CHEMBL2419150,CHEMBL2419150,N#Cc1sc(=S)n(CCc2ccccc2)c1/N=C/c1ccc(Br)cc1,,10.17,1,10.17,10.17,Ki,B,cell-based format,cell_based,9,D,2013,,428.38000000000005,5.906570000000003,41.08,0,4,5,3,3,0.10526315789473684,0.374713553406795
CHEMBL5815348,CHEMBL5815348,Nc1nc(-c2ccccc2)c(-c2ccc3ncccc3c2)c2nncn12,,10.15,2,10.15,10.15,IC50,B,assay format,other,9,D,2022,,338.374,3.588700000000002,81.99,1,5,2,5,5,0.0,0.5317704695991957
CHEMBL3121726,CHEMBL3121726,Cn1c(=O)c2[nH]c(-c3ccc(OC4CCCC4)cc3)nc2n(C)c1=O,,10.14,1,10.14,10.14,Ki,B,cell-based format,cell_based,9,D,2014,,340.38300000000004,1.9486999999999997,81.91,1,4,3,4,3,0.3888888888888889,0.7899533904099794
