molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL101311,CHEMBL101311,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,,6.7,1,6.7,6.7,Ki,F,assay format,other,8,H,,
CHEMBL103667,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,DORAMAPIMOD,6.26,5,6.08,7.39,Kd,B,single protein format,single_protein,8;9,D;H,2005;2011,2
CHEMBL1077317,CHEMBL1077317,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/N4CNc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)cn1,,6.96,2,6.32,7.6,IC50,B,assay format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1081312,CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,,7.8,3,7.75,8.7,IC50;Ki,B;F,assay format;single protein format,mixed,8,H,2008,
CHEMBL1084268,CHEMBL1084268,CCn1cnc2c(Nc3ccc(P(=O)(O)CP(=O)(O)O)cc3)nc([C@H]3CC[C@H](N)CC3)nc21,,7.17,1,7.17,7.17,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1085511,CHEMBL1085511,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,,7.4,1,7.4,7.4,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1087650,CHEMBL1087650,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1,,6.25,1,6.25,6.25,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1088240,CHEMBL1088240,COc1cc(Nc2c(C#N)cnc3cc(/C=C/CCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,,9.4,1,9.4,9.4,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1090672,CHEMBL1090672,COc1ccccc1/C=C/c1nc2ccccc2c(=O)[nH]1,,6.32,1,6.32,6.32,IC50,B,single protein format,single_protein,9,D,2019,
CHEMBL1092754,CHEMBL1092754,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,,8.01,1,8.01,8.01,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1092926,CHEMBL1092926,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,,7.1,1,7.1,7.1,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1097700,CHEMBL1097700,CNc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\[C@@H](C)[C@H](C)OC2=O,,6.67,1,6.67,6.67,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL111339,CHEMBL111339,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,,7.52,1,7.52,7.52,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1163016,CHEMBL1163016,CC1(C)CC(NC(=O)c2cccc(-c3cc4nccc(Nc5cccc(O)c5)n4n3)c2)CC(C)(C)N1[O],,8.3,1,8.3,8.3,IC50,B,single protein format,single_protein,8,H,2010,
