molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL2347725,CHEMBL2347725,COc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCN(C)CC3)sc2c1,,10.82,1,10.82,10.82,IC50,B,assay format,other,9,D,2013,,425.5580000000003,3.3408000000000015,69.72999999999999,2,6,6,4,3,0.36363636363636365,0.63396849161971
CHEMBL3689722,CHEMBL3689722,Cc1c(F)cncc1-c1ccc2cc(NC(=O)[C@@H]3C[C@@H]3F)ncc2c1,,10.73,1,10.73,10.73,Ki,B,single protein format,single_protein,9,D,2014,,339.345,4.040820000000002,54.88,1,3,3,4,3,0.21052631578947367,0.7833917889220638
CHEMBL3689554,CHEMBL3689554,Cc1c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cnc(CO)c1F,,10.7,1,10.7,10.7,Ki,B,single protein format,single_protein,9,D,2014,,351.38100000000003,3.585120000000002,75.11,2,4,4,4,3,0.25,0.7532434607168298
CHEMBL3639840,CHEMBL3639840,Cc1c(F)cncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,,10.7,1,10.7,10.7,Ki,B,single protein format,single_protein,9,D,2014,,321.3550000000001,4.092820000000002,54.88,1,3,3,4,3,0.21052631578947367,0.7901815539220607
CHEMBL3685056,CHEMBL3685056,Cc1ccc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,,10.7,1,10.7,10.7,Ki,B,single protein format,single_protein,9,D,2014,,318.3760000000001,4.264320000000002,62.22,2,3,3,4,3,0.2,0.7580588426337206
CHEMBL3685101,CHEMBL3685101,Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3F)ncc2c1,,10.7,1,10.7,10.7,Ki,B,single protein format,single_protein,9,D,2014,,321.355,3.901720000000002,54.88,1,3,3,4,3,0.21052631578947367,0.7957333069796867
CHEMBL1221411,CHEMBL1221411,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(NC(=O)CN)c3)nc21,,10.7,1,10.7,10.7,Ki,B,single protein format,single_protein,8,H,2010,,469.3320000000002,3.943100000000001,114.93,3,6,5,4,4,0.09090909090909091,0.4080074074579124
CHEMBL3685180,CHEMBL3685180,Cc1cc(CO)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,,10.7,1,10.7,10.7,Ki,B,single protein format,single_protein,9,D,2014,,333.39100000000013,3.4460200000000016,75.11000000000001,2,4,4,4,3,0.25,0.7667089864138225
CHEMBL3689678,CHEMBL3689678,Cc1ccc2[nH]ncc2c1-c1cc2cnc(NC(=O)[C@@H]3C[C@@H]3F)cc2cn1,,10.7,1,10.7,10.7,Ki,B,single protein format,single_protein,9,D,2014,,361.3800000000001,3.7780200000000015,83.56,2,4,3,5,4,0.2,0.581646454744818
CHEMBL3689631,CHEMBL3689631,Cc1cc([C@H](O)C(F)(F)F)ncc1-c1ccc2cc(NC(=O)C3C[C@@H]3F)ncc2c1,,10.7,1,10.7,10.7,Ki,B,single protein format,single_protein,9,D,2014,,419.3780000000001,4.497420000000003,75.11000000000001,2,4,4,4,3,0.2857142857142857,0.611069052429372
