molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL100334,CHEMBL100334,CN(CCOCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,,6.92,1,6.92,6.92,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL100366,CHEMBL100366,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C=O)C12,,6.11,1,6.11,6.11,IC50,B,assay format,other,9,D,1997,
CHEMBL100510,CHEMBL100510,CN(CCOCCNC(=S)NC(=O)c1ccc2ccccc2c1)Cc1ccccc1,,7.0,1,7.0,7.0,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL101028,CHEMBL101028,CN(CCOCCNC(=S)Nc1ccc(OC(F)(F)F)cc1)Cc1ccccc1,,6.0,1,6.0,6.0,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL101518,CHEMBL101518,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,,7.52,1,7.52,7.52,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL101809,CHEMBL101809,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,,6.64,1,6.64,6.64,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL101940,CHEMBL101940,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)c(Cl)c1)Cc1ccccc1,,7.26,1,7.26,7.26,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL102142,CHEMBL102142,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,,7.11,1,7.11,7.11,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1025,CHEMBL1025,CC(C)OP(=O)(F)OC(C)C,ISOFLUROPHATE,6.92,1,6.92,6.92,IC50,B,single protein format,single_protein,9,D,2010,4
CHEMBL104334,CHEMBL104334,CN(C)Cc1ccc(CSCCNc2cc(Nc3ncccc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])o1,,6.19,1,6.19,6.19,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL104355,CHEMBL104355,CN(C)Cc1ccc(CSCCNc2ccc(F)cc2[N+](=O)[O-])o1,,6.19,1,6.19,6.19,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL104681,CHEMBL104681,CN(C)Cc1ccc(CSCCNc2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,,6.92,1,6.92,6.92,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL105874,CHEMBL105874,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,,7.9,1,7.9,7.9,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL106082,CHEMBL106082,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccccc3C#N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,,6.2,1,6.2,6.2,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL106348,CHEMBL106348,CN(C)CCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],,6.28,1,6.28,6.28,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL106782,CHEMBL106782,CCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],,6.58,1,6.58,6.58,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL106891,CHEMBL106891,O=C1c2ccccc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,,7.1,1,7.1,7.1,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL106932,CHEMBL106932,CC(C)=NNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],,6.36,1,6.36,6.36,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL106936,CHEMBL106936,CN(C)Cc1ccc(CSCCNc2cc(NCc3ccccc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,,6.16,1,6.16,6.16,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL107254,CHEMBL107254,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccc(F)cc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,,6.17,1,6.17,6.17,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL1076243,CHEMBL1076243,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)Cc1cc2ccc(Cl)cc2s1,,7.0,1,7.0,7.0,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1076259,CHEMBL1076259,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2ccccc2s1,,6.57,1,6.57,6.57,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1076260,CHEMBL1076260,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2cccnc2s1,,6.36,1,6.36,6.36,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL107673,CHEMBL107673,CN(C)Cc1ccc(CSCCNc2cc(NCc3cccnc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,,6.51,1,6.51,6.51,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL107892,CHEMBL107892,CN(C)Cc1ccc(CSCCNc2cc(N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,,7.08,1,7.08,7.08,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL1080274,CHEMBL1080274,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2ccsc2s1,,6.52,1,6.52,6.52,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1080386,CHEMBL1080386,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(CCc4ccccc4)[C@@H]2N3C)cc1,PHENETHYLCYMSERINE,8.22,2,8.22,8.22,IC50,B,assay format;single protein format,mixed,9,D,2011,
CHEMBL1080631,CHEMBL1080631,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1ccccc1,,6.28,1,6.28,6.28,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1080813,CHEMBL1080813,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cccs1,,6.3,1,6.3,6.3,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1080814,CHEMBL1080814,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc(Br)cs1,,6.75,1,6.75,6.75,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1081031,CHEMBL1081031,CN1c2ccc(OC(=O)NC3CCCCC3)cc2[C@]2(C)CCN(CCc3ccccc3)[C@H]12,,7.66,1,7.66,7.66,IC50,B,single protein format,single_protein,9,D,2022,
CHEMBL1081032,CHEMBL1081032,CN1c2ccc(OC(=O)NCC3CCCCC3)cc2[C@]2(C)CCN(CCc3ccccc3)[C@H]12,,8.74,1,8.74,8.74,IC50,B,single protein format,single_protein,9,D,2022,
CHEMBL108163,CHEMBL108163,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccccc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,,6.19,1,6.19,6.19,IC50,B,single protein format,single_protein,8,H,1992,
CHEMBL1082081,CHEMBL1082081,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OC(C)(C)C,,6.02,1,6.02,6.02,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1082082,CHEMBL1082082,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OCc1ccccc1,,6.6,1,6.6,6.6,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1082419,CHEMBL1082419,CCCCCCNC(=O)Oc1cccc(CN(CC)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,,6.8,1,6.8,6.8,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL552832,CHEMBL1082433,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,,6.52,2,6.52,6.52,IC50,B,assay format;single protein format,mixed,8,H,1995;2010,
