molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL4205425,CHEMBL4205425,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,,10.96,1,10.96,10.96,IC50,B,single protein format,single_protein,9,D,2017,,434.87900000000013,4.326000000000003,75.71000000000001,1,4,4,4,3,0.125,0.6201066244883142
CHEMBL489454,CHEMBL489454,CN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,,10.93,1,10.93,10.93,Ki,B,single protein format,single_protein,9,D,2008,,521.7530000000004,7.166700000000008,53.08,2,5,11,6,4,0.47058823529411764,0.20502700242439612
CHEMBL4205954,CHEMBL4205954,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1,,10.88,1,10.88,10.88,IC50,B,single protein format,single_protein,9,D,2017,,404.8530000000002,4.317400000000003,66.48,1,3,3,4,3,0.08695652173913043,0.6610136190602199
CHEMBL4209803,CHEMBL4209803,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,,10.87,1,10.87,10.87,IC50,B,single protein format,single_protein,9,D,2017,,398.46200000000016,4.280840000000002,66.48,1,3,3,4,3,0.16,0.6698618459276929
CHEMBL4217663,CHEMBL4217663,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,,10.85,1,10.85,10.85,IC50,B,single protein format,single_protein,9,D,2017,,439.2980000000001,4.970800000000003,66.48,1,3,3,4,3,0.08695652173913043,0.5863903616548776
CHEMBL4210316,CHEMBL4210316,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,,10.84,1,10.84,10.84,IC50,B,single protein format,single_protein,9,D,2017,,418.8800000000001,4.625820000000004,66.48,1,3,3,4,3,0.125,0.6306290244880508
CHEMBL4214430,CHEMBL4214430,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2,,10.78,1,10.78,10.78,IC50,B,single protein format,single_protein,9,D,2017,,434.8790000000002,4.326000000000004,75.71000000000001,1,4,4,4,3,0.125,0.6201066244883142
CHEMBL3585779,CHEMBL3585779,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,,10.775,2,10.57,10.98,IC50;Ki,B,single protein format,single_protein,9,D,2015,,394.4490000000001,2.5256000000000007,102.96,2,6,8,2,2,0.2777777777777778,0.7131871170819916
CHEMBL4213253,CHEMBL4213253,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3ccccc3)ccc2CC1=O,,10.72,1,10.72,10.72,IC50,B,single protein format,single_protein,9,D,2017,,400.4340000000001,3.672600000000002,75.71000000000001,1,4,4,4,3,0.125,0.6782593983822722
CHEMBL225567,CHEMBL225567,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,,10.7,3,10.15,10.85,IC50;Ki,B,assay format;single protein format,mixed,9,D,2005;2008,,503.0900000000003,6.969600000000006,69.81,3,3,11,5,4,0.4,0.19385868736713224
CHEMBL1083983,CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,,10.7,1,10.7,10.7,IC50,B,single protein format,single_protein,8,H,2010,,468.6450000000003,6.316200000000006,69.81,3,3,11,5,4,0.4,0.22574969538968306
CHEMBL4214707,CHEMBL4214707,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,,10.68,1,10.68,10.68,IC50,B,single protein format,single_protein,9,D,2017,,418.88000000000017,4.625820000000004,66.48,1,3,3,4,3,0.125,0.6306290244880508
CHEMBL4210041,CHEMBL4210041,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1OC)C(=O)C2,,10.67,1,10.67,10.67,IC50,B,single protein format,single_protein,9,D,2017,,430.4600000000002,3.6812000000000022,84.94,1,5,5,4,3,0.16,0.624455216323334
CHEMBL3585778,CHEMBL3585778,COc1ccc(OC)c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c1,,10.605,2,10.57,10.64,IC50;Ki,B,single protein format,single_protein,9,D,2015,,394.4490000000002,2.5256000000000007,102.96,2,6,8,2,2,0.2777777777777778,0.7131871170819915
CHEMBL4205144,CHEMBL4205144,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(C)c1)C(=O)C2,,10.59,1,10.59,10.59,IC50,B,single protein format,single_protein,9,D,2017,,414.4610000000002,3.9810200000000027,75.71000000000001,1,4,4,4,3,0.16,0.6554824963800286
CHEMBL4218191,CHEMBL4218191,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1,,10.58,1,10.58,10.58,IC50,B,single protein format,single_protein,9,D,2017,,384.4350000000001,3.9724200000000023,66.48,1,3,3,4,3,0.125,0.6950201509239267
CHEMBL3585784,CHEMBL3585784,COc1cccc(OC)c1C(C)NS(N)(=O)=O,,10.57,1,10.57,10.57,IC50,B,single protein format,single_protein,9,D,2015,,260.315,0.5579000000000001,90.65,2,4,5,1,1,0.4,0.8088784614027744
CHEMBL3585783,CHEMBL3585783,COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1,,10.57,1,10.57,10.57,IC50,B,single protein format,single_protein,9,D,2015,,260.315,0.5579000000000003,90.65,2,4,5,1,1,0.4,0.8088784614027744
CHEMBL3585782,CHEMBL3585782,COc1ccc(C(C)NS(N)(=O)=O)cc1OC,,10.57,1,10.57,10.57,IC50,B,single protein format,single_protein,9,D,2015,,260.315,0.5579000000000003,90.64999999999999,2,4,5,1,1,0.4,0.8088784614027744
CHEMBL3585781,CHEMBL3585781,COc1ccc(C(C)NS(N)(=O)=O)cc1,,10.57,1,10.57,10.57,IC50,B,single protein format,single_protein,9,D,2015,,230.289,0.5493000000000001,81.41999999999999,2,3,4,1,1,0.3333333333333333,0.7921154539498821
CHEMBL3585776,CHEMBL3585776,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1,,10.57,1,10.57,10.57,IC50,B,single protein format,single_protein,9,D,2015,,364.42300000000006,2.5170000000000003,93.73,2,5,7,2,2,0.23529411764705882,0.7872941391274416
CHEMBL3585775,CHEMBL3585775,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,,10.57,1,10.57,10.57,IC50,B,single protein format,single_protein,9,D,2015,,364.4230000000001,2.5170000000000003,93.73,2,5,7,2,2,0.23529411764705882,0.7872941391274415
CHEMBL3585777,CHEMBL3585777,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1OC,,10.57,1,10.57,10.57,IC50,B,single protein format,single_protein,9,D,2015,,394.4490000000001,2.5256000000000007,102.96000000000001,2,6,8,2,2,0.2777777777777778,0.7131871170819916
CHEMBL4208866,CHEMBL4208866,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1ccccc1,,10.55,1,10.55,10.55,IC50,B,single protein format,single_protein,9,D,2017,,404.8530000000001,4.317400000000003,66.48,1,3,3,4,3,0.08695652173913043,0.66101361906022
CHEMBL4209518,CHEMBL4209518,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2,,10.53,1,10.53,10.53,IC50,B,single protein format,single_protein,9,D,2017,,400.43400000000014,3.672600000000002,75.71000000000001,1,4,4,4,3,0.125,0.6782593983822722
CHEMBL3585780,CHEMBL3585780,COc1ccccc1C(C)NS(N)(=O)=O,,10.495000000000001,2,10.42,10.57,IC50;Ki,B,single protein format,single_protein,9,D,2015,,230.289,0.5493000000000001,81.41999999999999,2,3,4,1,1,0.3333333333333333,0.7921154539498821
CHEMBL2019048,CHEMBL2021702,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1,,10.46,1,10.46,10.46,IC50,B,assay format,other,9,D,2012,,606.1630000000001,7.550300000000006,113.69,3,7,14,5,4,0.4411764705882353,0.12713956358703732
CHEMBL225198,CHEMBL225198,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,,10.46,2,10.22,10.7,IC50,B,assay format;single protein format,mixed,9,D,2005;2008,,517.1170000000003,7.359700000000006,69.81,3,3,12,5,4,0.41935483870967744,0.17218777072030345
CHEMBL372202,CHEMBL372202,COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,,10.4,1,10.4,10.4,IC50,B,single protein format,single_protein,9,D,2006,,567.561,7.631600000000007,79.03999999999999,3,4,12,5,4,0.41935483870967744,0.15388612109678038
