molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL107316,CHEMBL107316,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,,8.48,1,8.48,8.48,Ki,B,single protein format,single_protein,9,D,2004,
CHEMBL107504,CHEMBL107504,OC(O)(CCCCCNc1c2c(nc3cccc(Cl)c13)CCCCC2)C(F)(F)F,,7.44,1,7.44,7.44,IC50,B,single protein format,single_protein,9,D,2001,
CHEMBL107516,CHEMBL107516,Nc1c2c(nc3cccc(Cl)c13)CCCCC2,,8.62,1,8.62,8.62,IC50,B,single protein format,single_protein,9,D,2001,
CHEMBL553187,CHEMBL1083057,CN(CCCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1,,6.13,1,6.13,6.13,IC50,B,single protein format,single_protein,9,D,1999,
CHEMBL108313,CHEMBL108313,Cc1nc2ccccc2c(N)c1COCc1cccc(C(=O)C(F)(F)F)c1,,8.52,1,8.52,8.52,IC50,B,single protein format,single_protein,9,D,2001,
CHEMBL108434,CHEMBL108434,Cc1nc2cccc(F)c2c(N)c1CSC1(C(F)(F)F)CCCO1,,7.75,1,7.75,7.75,IC50,B,single protein format,single_protein,9,D,2001,
CHEMBL108696,CHEMBL108696,Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(C(=O)C(F)(F)F)c1,,8.52,1,8.52,8.52,IC50,B,single protein format,single_protein,9,D,2001,
CHEMBL108726,CHEMBL108726,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2,,7.76,4,7.42,8.02,Ki,B,single protein format,single_protein,9,D,1996;2004,
CHEMBL108749,CHEMBL108749,Cc1nc2cccc(Cl)c2c(N)c1COCc1cccc(C(=O)C(F)(F)F)c1,,8.29,1,8.29,8.29,IC50,B,single protein format,single_protein,9,D,2001,
CHEMBL108872,CHEMBL108872,Clc1cccc2nc3c(c(NCc4cccs4)c12)CCCCC3,,6.13,1,6.13,6.13,IC50,B,single protein format,single_protein,9,D,2001,
CHEMBL109105,CHEMBL109105,OC(O)(CCCCCNc1c2c(nc3ccccc13)CCCCC2)C(F)(F)F,,7.85,1,7.85,7.85,IC50,B,single protein format,single_protein,9,D,2001,
CHEMBL1115,CHEMBL1115,CN(C)C(=O)Oc1ccc[n+](C)c1,PYRIDOSTIGMINE,7.09,1,7.09,7.09,IC50,B,single protein format,single_protein,9,D,2011,4
CHEMBL117651,CHEMBL117651,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCCCCc1cnnn1CCNc1c3c(nc4ccccc14)CCCC3)c1cc(N)ccc21,,10.11,1,10.11,10.11,Ki,B,single protein format,single_protein,9,D,2008,
CHEMBL540131,CHEMBL1190116,CC[N+](CC)(CC)CCOc1ccc(C(=O)NCCCCCC(=O)NNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,,6.9,1,6.9,6.9,IC50,B,single protein format,single_protein,9,D,2007,
CHEMBL540132,CHEMBL1190117,CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)cc(C(=O)NCCCCCC(=O)NNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1,,6.52,1,6.52,6.52,IC50,B,single protein format,single_protein,9,D,2007,
CHEMBL1203984,CHEMBL1190118,CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)c(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc1OCC[N+](CC)(CC)CC,,7.56,1,7.56,7.56,IC50,B,single protein format,single_protein,9,D,2007,
CHEMBL1203985,CHEMBL1195234,CC[N+](CC)(CC)CCOc1ccc(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc1,,7.75,1,7.75,7.75,IC50,B,single protein format,single_protein,9,D,2007,
CHEMBL1203986,CHEMBL1195729,CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)cc(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)c1,,8.07,1,8.07,8.07,IC50,B,single protein format,single_protein,9,D,2007,
CHEMBL555247,CHEMBL1195736,CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)c(C(=O)NCCCCCC(=O)NNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1OCC[N+](CC)(CC)CC,,6.48,1,6.48,6.48,IC50,B,single protein format,single_protein,9,D,2007,
CHEMBL596457,CHEMBL1208428,C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1ccccc1OS(=O)(=O)O)c1ccc(=O)[nH]c1C2,,7.74,1,7.74,7.74,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL538296,CHEMBL169648,COc1cc2c(cc1OC)C(=O)C(C1CCN(Cc3ccccc3)CC1)C2,,7.27,3,6.91,7.27,Ki,B,single protein format,single_protein,9,D,1996,
CHEMBL545317,CHEMBL172409,COc1cc2c(cc1OC)C(=O)C(CCC1CCN(Cc3ccccc3)CC1)C2,,7.57,3,7.33,7.73,Ki,B,single protein format,single_protein,9,D,1996,
CHEMBL208599,CHEMBL208599,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,HUPRINE X,9.89,1,9.89,9.89,Ki,B,single protein format,single_protein,9,D,2008,
