molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL525622,CHEMBL525622,C[N+](C)(C)c1cccc(C(=O)C(F)(F)F)c1,,10.82,1,10.82,10.82,Ki,B,single protein format,single_protein,9,D,2008,,232.22499999999994,2.628300000000001,17.07,0,1,2,1,1,0.36363636363636365,0.5655665406275722
CHEMBL606348,CHEMBL606348,C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1cc(OC)cc(OC)c1)c1ccc(=O)[nH]c1C2,,10.7,1,10.7,10.7,IC50,B,single protein format,single_protein,9,D,2009,,390.4830000000001,4.175100000000003,63.68,1,4,4,4,2,0.3333333333333333,0.6293290766295841
CHEMBL594870,CHEMBL594870,C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1ccc(OC)cc1)c1ccc(=O)[nH]c1C2,,10.61,1,10.61,10.61,IC50,B,single protein format,single_protein,9,D,2009,,360.4570000000001,4.166500000000003,54.449999999999996,1,3,3,4,2,0.30434782608695654,0.6597737534947917
CHEMBL596236,CHEMBL596236,C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1ccc(C#N)cc1)c1ccc(=O)[nH]c1C2,,10.39,1,10.39,10.39,IC50,B,single protein format,single_protein,9,D,2009,,355.44100000000014,4.029580000000003,69.00999999999999,1,3,2,4,2,0.2608695652173913,0.6525999449484663
CHEMBL593933,CHEMBL593933,C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1ccc(OC)cc1OC)c1ccc(=O)[nH]c1C2,,10.35,1,10.35,10.35,IC50,B,single protein format,single_protein,9,D,2009,,390.4830000000002,4.175100000000003,63.68,1,4,4,4,2,0.3333333333333333,0.6293290766295841
CHEMBL117651,CHEMBL117651,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCCCCc1cnnn1CCNc1c3c(nc4ccccc14)CCCC3)c1cc(N)ccc21,,10.11,1,10.11,10.11,Ki,B,single protein format,single_protein,9,D,2008,,661.8779999999998,8.045600000000007,111.55,3,6,12,8,7,0.2857142857142857,0.052903311916074905
CHEMBL606372,CHEMBL606372,C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/C=C/c1ccc(N(C)C)cc1)c1ccc(=O)[nH]c1C2,,9.92,1,9.92,9.92,IC50,B,single protein format,single_protein,9,D,2009,,399.5380000000002,4.889000000000004,48.46,1,3,4,4,2,0.3076923076923077,0.587808998297889
CHEMBL208599,CHEMBL208599,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,HUPRINE X,9.89,1,9.89,9.89,Ki,B,single protein format,single_protein,9,D,2008,,298.8170000000001,4.856500000000003,38.91,1,2,1,4,2,0.3888888888888889,0.7638693503355111
CHEMBL86546,CHEMBL86546,O=C(c1cccc(C(F)(F)F)c1)C(F)(F)F,,9.41,1,9.41,9.41,Ki,B,single protein format,single_protein,9,D,1993,,242.11799999999994,3.4504,17.07,0,1,1,1,1,0.2222222222222222,0.5441074911195186
CHEMBL315634,CHEMBL315634,CCc1cccc(C(=O)C(F)(F)F)c1,,9.41,1,9.41,9.41,Ki,B,single protein format,single_protein,9,D,1993,,202.17499999999995,2.9940000000000015,17.07,0,1,2,1,1,0.3,0.6735340906922931
CHEMBL3221566,CHEMBL3221566,Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,,9.38,1,9.38,9.38,IC50,B,single protein format,single_protein,9,D,2011,,626.245,8.036040000000007,95.15,4,5,14,5,4,0.3783783783783784,0.10641638493113885
CHEMBL3221005,CHEMBL3221005,Cc1cccc(Nc2ccccc2C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,,9.27,2,8.65,9.89,IC50,B,single protein format,single_protein,9,D,2011,,520.7210000000005,7.876340000000007,66.05000000000001,3,4,11,5,4,0.35294117647058826,0.17604095692169228
