molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL100057,CHEMBL100057,O=C(NCc1cc(F)ccc1F)Nc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)COc3ccc(O)cc3)CC2)cc1,,6.0,1,6.0,6.0,EC50,F,cell-based format,cell_based,8,H,2002,
CHEMBL100351,CHEMBL100351,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(-n4ccc5c(C(=O)O)cccc54)cc3)CC2)ccc1O,,7.3,1,7.3,7.3,EC50,F,cell-based format,cell_based,9,D,2002,
CHEMBL100970,CHEMBL100970,O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)COc3ccc(O)cc3)CC2)cc1,,6.31,1,6.31,6.31,EC50,F,cell-based format,cell_based,8,H,2002,
CHEMBL101521,CHEMBL101521,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(c3ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)cc3)CC2)ccc1O,,6.24,1,6.24,6.24,EC50,F,cell-based format,cell_based,9,D,2002,
CHEMBL101606,CHEMBL101606,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(-n4cc(C(=O)O)cn4)cc3)CC2)ccc1O,,6.0,1,6.0,6.0,EC50,F,cell-based format,cell_based,9,D,2002,
CHEMBL101674,CHEMBL101674,CS(=O)(=O)Nc1cc([C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(NC(=O)N[C@@H](Cc4ccccc4)C(=O)O)cc3)CC2)ccc1O,,6.28,1,6.28,6.28,EC50,F,cell-based format,cell_based,9,D,2002,
CHEMBL102194,CHEMBL102194,CCCCCCCCNC(=O)Nc1ccc(S(=O)(=O)N2CCC(CNC[C@H](O)COc3ccc(O)cc3)CC2)cc1,,6.8100000000000005,2,6.05,7.57,EC50;IC50,F,assay format;cell-based format,cell_based,8,H,2002,
CHEMBL103137,CHEMBL103137,O[C@@H](CNCC1CCN(CCC(F)(F)F)CC1)COc1cccc2[nH]c3ccccc3c12,,6.38,1,6.38,6.38,EC50,F,cell-based format,cell_based,8,H,2002,
CHEMBL104193,CHEMBL104193,O=C(NCCc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,,6.8,1,6.8,6.8,IC50,B,cell-based format,cell_based,8,H,1998,
CHEMBL104481,CHEMBL104481,O=C(NC1CCCCC1)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,,7.07,1,7.07,7.07,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL106022,CHEMBL106022,CCCCCCCCNC(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,,6.21,1,6.21,6.21,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL106511,CHEMBL106511,CS(=O)(=O)Nc1cc(OC[C@@H](O)CNCCc2ccc(NC3CCN(C(=O)NCc4cc(F)ccc4F)CC3)cc2)ccc1O,,6.37,1,6.37,6.37,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL106884,CHEMBL106884,O=C(NCc1c(F)cccc1F)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,,6.12,1,6.12,6.12,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL107012,CHEMBL107012,CNC(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,,6.46,1,6.46,6.46,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL107129,CHEMBL107129,CCCCCCCCNC(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)c4c3CCC(=O)N4)cc2)CC1,,7.06,1,7.06,7.06,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL107382,CHEMBL107382,O=C(NCc1cc(F)ccc1F)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,,6.28,1,6.28,6.28,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL107633,CHEMBL107633,CC(C)NC(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,,6.03,1,6.03,6.03,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL108061,CHEMBL108061,CCN(CC)C(=O)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,,6.79,1,6.79,6.79,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL1082500,CHEMBL1082500,COc1ccc(CC2CCN(CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1,,8.47,1,8.47,8.47,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1082501,CHEMBL1082501,OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(Cc2cccnc2)CC1,,9.0,1,9.0,9.0,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL108263,CHEMBL108263,O=C(NCc1ccc(F)cc1F)N1CCC(Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,,6.34,1,6.34,6.34,EC50,F,cell-based format,cell_based,8,H,2001,
CHEMBL1082827,CHEMBL1082827,O=C(c1ccccc1)C1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,,7.8,1,7.8,7.8,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1082828,CHEMBL1082828,COc1ccc(C(=O)C2CCN(CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1,,7.89,1,7.89,7.89,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083053,CHEMBL1083053,CC(C)c1ccccc1OCC(O)CN1CCN(CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1,,6.13,1,6.13,6.13,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083363,CHEMBL1083363,O=C1c2cccc3cccc(c23)C(=O)N1C1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,,7.12,1,7.12,7.12,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083366,CHEMBL1083366,C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cc(OC)cc(c34)C2=O)CC1,,6.52,1,6.52,6.52,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083368,CHEMBL1083368,O=C1c2cccc3cccc(c23)C(=O)N1CC1CCN(CC(O)COc2cccc3[nH]ccc23)CC1,,7.57,1,7.57,7.57,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083666,CHEMBL1083666,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(CC(O)COc3ccccc3C(C)C)CC1)C2=O,,6.68,1,6.68,6.68,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083667,CHEMBL1083667,C=CCc1ccccc1OCC(O)CN1CCOCC1,,6.94,1,6.94,6.94,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083668,CHEMBL1083668,CC(C)c1ccccc1OCC(O)CN1CCOCC1,,7.92,1,7.92,7.92,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083669,CHEMBL1083669,C=CCc1ccccc1OCC(O)CNC1CCN(C)CC1,,6.58,1,6.58,6.58,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083670,CHEMBL1083670,CC(C)c1ccccc1OCC(O)CNC1CCN(C)CC1,,7.05,1,7.05,7.05,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083672,CHEMBL1083672,C=CCc1ccccc1OCC(O)CN1CCN(CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1,,6.53,1,6.53,6.53,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1083994,CHEMBL1083994,Cc1ccc(C(C)C)c(OCC(O)CN2CCC(CN3C(=O)c4cccc5cccc(c45)C3=O)CC2)c1,,6.21,2,6.0,6.42,IC50;Ki,B;F,cell-based format,cell_based,9,D,2010,
CHEMBL1083996,CHEMBL1083996,CC(C)c1ccccc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cccc(c34)C2=O)CC1,,6.6,1,6.6,6.6,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1084526,CHEMBL1084526,COc1ccc(OCC(O)CN2CCC(CN3C(=O)c4cccc5cccc(c45)C3=O)CC2)c(C(C)(C)C)c1,,6.28,1,6.28,6.28,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1084655,CHEMBL1084655,NS(=O)(=O)c1ccc(COCCOCCCCCCNC[C@H](O)c2ccc(O)c(CO)c2)cc1,,7.0,1,7.0,7.0,EC50,F,cell-based format,cell_based,9,D,2010,
CHEMBL1084706,CHEMBL1084706,O=C1c2cccc3cc(O)cc(c23)C(=O)N1CC1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,,6.85,2,6.6,7.1,EC50;Ki,B;F,cell-based format,cell_based,9,D,2010,
CHEMBL1084707,CHEMBL1084707,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(CC(O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,,10.0,1,10.0,10.0,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1084772,CHEMBL1084772,O=C1c2cccc3cccc(c23)C(=O)N1CC1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,,8.15,1,8.15,8.15,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1085009,CHEMBL1085009,C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)CCCC2=O)CC1,,6.36,1,6.36,6.36,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1085010,CHEMBL1085010,CC(C)c1ccccc1OCC(O)CN1CCC(CN2C(=O)CCCC2=O)CC1,,6.61,1,6.61,6.61,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1085013,CHEMBL1085013,CC(C)c1ccccc1OCC(O)CN1CCC(N2C(=O)c3cccc4cccc(c34)C2=O)CC1,,6.62,1,6.62,6.62,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1085014,CHEMBL1085014,C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cc(O)cc(c34)C2=O)CC1,,6.77,1,6.77,6.77,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1085016,CHEMBL1085016,C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3ccccc3C2=O)CC1,,6.72,1,6.72,6.72,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1085270,CHEMBL1085270,CC(C)c1ccccc1OCC(O)CN1CCC(CN2C(=O)c3ccccc3C2=O)CC1,,6.14,1,6.14,6.14,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1085928,CHEMBL1085928,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)OCc1nc2ccccc2[nH]1,,6.08,1,6.08,6.08,IC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1086005,CHEMBL1086005,C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cccc(c34)C2=O)CC1,,7.1,1,7.1,7.1,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1086077,CHEMBL1086077,O=C(c1ccc(F)cc1)C1CCN(CC(O)COc2cccc3[nH]c4ccccc4c23)CC1,,7.005,2,6.51,7.5,EC50;Ki,B;F,cell-based format,cell_based,9,D,2010,
CHEMBL1086535,CHEMBL1086535,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2ccc(O)cc2)ccc1O,,7.1,1,7.1,7.1,EC50,F,cell-based format,cell_based,9,D,2010,
CHEMBL1086542,CHEMBL1086542,OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(Cc2ccccc2)CC1,,7.85,1,7.85,7.85,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1089052,CHEMBL1089052,CNc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cs1,,6.16,1,6.16,6.16,IC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1089725,CHEMBL1089725,O=C(Cc1nc2ccccc2o1)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1,,6.22,1,6.22,6.22,IC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1095777,CHEMBL1095777,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,INDACATEROL,6.77,2,6.5,7.04,IC50;Ki,B,single protein format,single_protein,8;9,D;H,2010;2012,4
CHEMBL1112,CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,ARIPIPRAZOLE,6.14,1,6.14,6.14,AC50,F,assay format,other,8,H,2023,4
CHEMBL111201,CHEMBL111201,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,,6.0,1,6.0,6.0,IC50,B,single protein format,single_protein,9,D,2016,
CHEMBL3392321,CHEMBL11268,N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1,,9.09,3,8.75,9.48,EC50;Kd,B;F,cell-based format,cell_based,9,D,2013,
CHEMBL1160694,CHEMBL1160694,CC(C)NC[C@H](O)COc1ccc(O)c(O)c1,,6.2,4,6.0,6.5,EC50,B,cell-based format,cell_based,9,D,2019,
