molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL2012522,CHEMBL2012520,CC(C)(Cc1ccc(Oc2ccc(C(N)=O)cn2)cc1)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12,,10.64,1,10.64,10.64,Ki,B,cell-based format,cell_based,9,D,2011,2,524.6210000000001,4.957900000000004,122.49000000000001,4,6,11,5,5,0.22580645161290322,0.19377695520375135
CHEMBL2011218,CHEMBL2011218,N#Cc1ccccc1OC[C@@H](O)CNCCNC(=O)Nc1cccc(OCCF)c1,,10.4,1,10.4,10.4,IC50,B,cell-based format,cell_based,8,H,2011,,416.45300000000015,2.0575799999999997,115.64,4,6,12,2,2,0.3333333333333333,0.39382359933298905
CHEMBL2011226,CHEMBL2011226,N#Cc1ccccc1OC[C@@H](O)CNCCNC(=O)Nc1ccc(I)nc1,,10.3,1,10.3,10.3,IC50,B,cell-based format,cell_based,8,H,2011,,481.29400000000004,1.70888,119.3,4,6,9,2,2,0.2777777777777778,0.24613768016278398
CHEMBL2011227,CHEMBL2011227,N#Cc1ccccc1OC[C@@H](O)CNCCNC(=O)Nc1ccc(Br)nc1,,10.3,1,10.3,10.3,IC50,B,cell-based format,cell_based,8,H,2011,,434.29400000000004,1.8667799999999999,119.3,4,6,9,2,2,0.2777777777777778,0.3535295151518072
CHEMBL5207281,CHEMBL5222802,CCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1,,10.12,1,10.12,10.12,Kd,B,cell membrane format,other,9,D,2021,,313.431,0.8570000000000002,131.31,4,5,8,1,1,0.6666666666666666,0.3195922378784302
CHEMBL5206565,CHEMBL5222872,N/C(=N\C(=O)NCc1ccccc1)NCCCc1nnc(N)s1,,10.12,1,10.12,10.12,Kd,B,cell membrane format,other,9,D,2021,,333.42100000000005,0.8669999999999995,131.31,4,5,6,2,2,0.2857142857142857,0.3522256814086108
CHEMBL4860528,CHEMBL4860528,CCCCCNC(=O)/N=C(\N)NCCCc1sc(N)nc1C,,10.12,1,10.12,10.12,Kd,B,cell membrane format,other,9,D,2021,,326.47,1.7704200000000003,118.42,4,4,8,1,1,0.6428571428571429,0.3297043994449482
CHEMBL5201074,CHEMBL5222491,C[C@@H](NC(=O)/N=C(\N)NCCCc1ncn[nH]1)c1ccccc1,,10.12,1,10.12,10.12,Kd,B,cell membrane format,other,9,D,2021,,315.38100000000003,1.1124000000000003,121.08000000000001,4,3,6,2,2,0.3333333333333333,0.3613541284358761
CHEMBL2011216,CHEMBL2011216,N#Cc1ccccc1OC[C@@H](O)CNCCNC(=O)Nc1ccc(OCCF)cc1,,10.1,1,10.1,10.1,IC50,B,cell-based format,cell_based,8,H,2011,,416.45300000000015,2.0575799999999997,115.64,4,6,12,2,2,0.3333333333333333,0.39382359933298905
CHEMBL1084707,CHEMBL1084707,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(CC(O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,,10.0,1,10.0,10.0,Ki,B,cell-based format,cell_based,9,D,2010,,563.6540000000001,5.230800000000005,95.1,2,6,8,7,5,0.29411764705882354,0.2512088872423024
