molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL1076553,CHEMBL1076553,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(F)c4)s3)cc12,,7.42,1,7.42,7.42,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1076565,CHEMBL1076565,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1cccc(C(F)(F)F)c1,,7.6,1,7.6,7.6,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1076581,CHEMBL1076581,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(Cl)cc1Cl,,7.4,1,7.4,7.4,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1079175,CHEMBL1079175,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,MK-2206,8.1,10,6.52,8.3,IC50;Kd,B;F,cell-based format;single protein format;subcellular format,mixed,8;9,D;H,2010;2014;2017;2020;2021;2022;2023,2
CHEMBL1079625,CHEMBL1079625,N[C@H](CNc1ncc(-c2ccc3cn[nH]c3c2)s1)Cc1ccc(C(F)(F)F)cc1,,6.21,1,6.21,6.21,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1079626,CHEMBL1079626,Cn1ncc2ccc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc21,,6.05,1,6.05,6.05,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080561,CHEMBL1080561,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(C(F)(F)F)c4)s3)cc12,,8.21,1,8.21,8.21,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080569,CHEMBL1080569,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.545,4,6.16,8.52,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1080740,CHEMBL1080740,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4)s3)cc12,,8.05,1,8.05,8.05,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080891,CHEMBL1080891,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4Cl)s3)cc12,,7.33,1,7.33,7.33,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080892,CHEMBL1080892,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4C(F)(F)F)s3)cc12,,6.31,1,6.31,6.31,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080893,CHEMBL1080893,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(Cl)c4)s3)cc12,,7.72,1,7.72,7.72,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080911,CHEMBL1080911,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc12,,6.48,3,6.45,8.26,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1080912,CHEMBL1080912,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4Cl)s3)cc12,,7.75,1,7.75,7.75,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080913,CHEMBL1080913,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(F)c(F)c4)s3)cc12,,7.85,1,7.85,7.85,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081029,CHEMBL1081029,N[C@H](CNc1ncc(-c2ccc3c(c2)CNC3=O)s1)Cc1ccc(C(F)(F)F)cc1,,7.02,1,7.02,7.02,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081104,CHEMBL1081104,N[C@H](CNc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,,7.77,1,7.77,7.77,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081105,CHEMBL1081105,N[C@H](CCc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,,7.4,1,7.4,7.4,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081119,CHEMBL1081119,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)o1)Cc1ccc(C(F)(F)F)cc1,,7.07,1,7.07,7.07,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081263,CHEMBL1081263,N[C@H](CNc1ncc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.34,2,6.37,8.31,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1081295,CHEMBL1081295,Nc1cc2cc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)ccc2cn1,,6.995,2,6.05,7.94,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1081296,CHEMBL1081296,N[C@H](CNc1ncc(-c2ccc3cncnc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.46,1,7.46,7.46,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081425,CHEMBL1081425,N[C@H](CNc1cnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,6.39,1,6.39,6.39,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081426,CHEMBL1081426,CCc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4)s3)cc12,,6.43,1,6.43,6.43,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081437,CHEMBL1081437,N[C@H](CNc1nnc(-c2ccc3[nH]nc(C4CC4)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,,6.74,1,6.74,6.74,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081438,CHEMBL1081438,N[C@H](CNc1nnc(-c2ccc3[nH]nc(-c4ccccc4)c3c2)s1)Cc1cccc(C(F)(F)F)c1,,6.38,1,6.38,6.38,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081439,CHEMBL1081439,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(F)cc1,,6.43,1,6.43,6.43,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081451,CHEMBL1081451,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(Cl)cc1,,7.62,1,7.62,7.62,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081628,CHEMBL1081628,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,6.81,3,6.35,8.22,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1081629,CHEMBL1081629,Cc1cc2cc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)ccc2cn1,,6.55,1,6.55,6.55,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081660,CHEMBL1081660,Nc1noc2ccc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc12,,6.34,1,6.34,6.34,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081829,CHEMBL1081829,N[C@H](CNc1ncc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.105,2,6.14,8.07,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1081830,CHEMBL1081830,N[C@H](CNc1ncc(-c2ccc3nnn(N)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.11,1,7.11,7.11,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081831,CHEMBL1081831,N[C@H](CNc1ncc(-c2ccc3c(c2)CC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,,7.13,2,6.52,7.74,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1081852,CHEMBL1081852,N[C@H](CNc1ncc(-c2ccc3[nH]c(=O)oc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.199999999999999,2,6.3,8.1,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1081853,CHEMBL1081853,N[C@H](CNc1ncc(-c2ccc3[nH]c(=O)sc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,6.805,2,6.04,7.57,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1081974,CHEMBL1081974,N[C@H](CNc1ncc(-c2ccc3nnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,6.85,1,6.85,6.85,IC50,B,single protein format,single_protein,8,H,2010,
