molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL5407182,CHEMBL5499239,O=C(N[C@@H]1CNCC[C@H]1c1cccc(F)c1)c1cc2c(s1)CCCn1ncc(Cl)c1-2,,10.7,1,10.7,10.7,IC50,B,single protein format,single_protein,9,D,2023,,444.96300000000025,4.225800000000004,58.95,2,4,3,5,3,0.36363636363636365,0.6353176160894729
CHEMBL5406146,CHEMBL5499004,O=C(N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1)c1cc2c(s1)OCCn1ncc(Br)c1-2,,10.64,1,10.64,10.64,IC50,B,single protein format,single_protein,9,D,2023,,509.3760000000002,3.920200000000003,68.18,2,5,3,5,3,0.3333333333333333,0.5620977350407745
CHEMBL5414576,CHEMBL5498989,O=C(N[C@@H]1CNCC[C@H]1c1cc(F)c(F)c(F)c1)c1ccc2c(c1)OCCn1nccc1-2,,10.46,1,10.46,10.46,IC50,B,single protein format,single_protein,9,D,2023,,442.4410000000002,3.2353000000000014,68.18,2,4,3,5,3,0.30434782608695654,0.6115743499428306
CHEMBL5398425,CHEMBL5498925,O=C(N[C@@H]1CNCC[C@H]1c1cccc(F)c1)c1cc2c(s1)CCCn1ncc(Br)c1-2,,10.44,1,10.44,10.44,IC50,B,single protein format,single_protein,9,D,2023,,489.41400000000027,4.334900000000004,58.95,2,4,3,5,3,0.36363636363636365,0.5759971994718408
CHEMBL5437264,CHEMBL5500143,O=C(N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1)c1cc2c(s1)OCCn1ncc(Cl)c1-2,,10.28,1,10.28,10.28,IC50,B,single protein format,single_protein,9,D,2023,,464.92500000000024,3.8111000000000033,68.18,2,5,3,5,3,0.3333333333333333,0.6182168988552393
CHEMBL5428430,CHEMBL5500043,O=C(N[C@@H]1CNCC[C@H]1c1cc(F)cc(F)c1)c1cc2c(s1)CCCn1ncc(Br)c1-2,,10.27,1,10.27,10.27,IC50,B,single protein format,single_protein,9,D,2023,,507.4040000000002,4.474000000000004,58.95,2,4,3,5,3,0.36363636363636365,0.5502480541856453
CHEMBL5400934,CHEMBL5498546,O=C(N[C@@H]1CNCC[C@H]1c1cc(F)c(F)c(F)c1)c1cc2c(s1)OCCn1ncc(Br)c1-2,,10.08,1,10.08,10.08,IC50,B,single protein format,single_protein,9,D,2023,,527.3660000000002,4.059300000000004,68.18,2,5,3,5,3,0.3333333333333333,0.5047903628470417
CHEMBL5408482,CHEMBL5499172,O=C(N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1)c1cc2c(s1)CCCn1ncc(Br)c1-2,,10.04,1,10.04,10.04,IC50,B,single protein format,single_protein,9,D,2023,,507.4040000000002,4.474000000000004,58.95,2,4,3,5,3,0.36363636363636365,0.5502480541856453
CHEMBL3899716,CHEMBL3899716,Cc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Br)CC3)n2)ccc1F,,10.0,2,10.0,10.0,IC50,B,single protein format,single_protein,8,H,2015,,514.4470000000001,4.222020000000003,76.1,1,6,6,5,3,0.4583333333333333,0.5311502924601142
CHEMBL5438374,CHEMBL5500150,O=C(N[C@@H]1CNCC[C@H]1c1cc(F)c(F)c(F)c1)c1cc2c(s1)OCCn1ncc(Cl)c1-2,,9.92,1,9.92,9.92,IC50,B,single protein format,single_protein,9,D,2023,,482.91500000000025,3.9502000000000033,68.18,2,5,3,5,3,0.3333333333333333,0.5546882464856291
CHEMBL5399312,CHEMBL5498566,O=C(N[C@@H]1CNCC[C@H]1c1ccc(Cl)c(C(F)(F)F)c1)c1cc2c(s1)OCCn1ncc(Br)c1-2,,9.85,1,9.85,9.85,IC50,B,single protein format,single_protein,9,D,2023,,575.8380000000002,5.314200000000002,68.18,2,5,3,5,3,0.36363636363636365,0.4440889458143284
CHEMBL3966806,CHEMBL3966806,CC(C)c1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Br)CC3)n2)ccn1,,9.82,2,9.82,9.82,IC50,B,single protein format,single_protein,8,H,2015,,525.4990000000001,4.292900000000003,88.99,1,7,7,5,3,0.52,0.4923703718942552
CHEMBL379300,CHEMBL379300,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,A-443654,9.8,3,8.6,9.8,IC50;Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2006;2007;2009,,397.482,4.363420000000002,92.60999999999999,3,4,6,5,5,0.16666666666666666,0.3967766478103931
CHEMBL573326,CHEMBL573326,N[C@H](COc1cncc(-c2ccc3c(c2)C(c2ccco2)C(=O)N3)c1)Cc1c[nH]c2ccccc12,,9.77,1,9.77,9.77,IC50,B,single protein format,single_protein,8,H,2009,,464.5250000000002,4.855700000000003,106.16999999999999,3,5,7,6,5,0.14285714285714285,0.31908354935530336
CHEMBL210954,CHEMBL210954,CC(C)(Cc1ccco1)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21,,9.77,1,9.77,9.77,IC50,B,single protein format,single_protein,9,D,2006,,520.6330000000003,6.076300000000005,106.16999999999999,3,5,9,6,5,0.25,0.218513855895357
CHEMBL523586,CHEMBL523586,NC[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,,9.76,2,9.0,10.52,IC50;Ki,B,single protein format,single_protein,8,H,2009,,473.3710000000001,4.492800000000003,83.79999999999998,3,4,6,4,4,0.14285714285714285,0.38594382148899137
CHEMBL469590,CHEMBL469590,NCC(Cc1ccccc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,,9.7,2,9.0,10.4,IC50;Ki,B,single protein format,single_protein,8,H,2009,,455.3810000000001,4.353700000000003,83.79999999999998,3,4,6,4,4,0.14285714285714285,0.4042512481600572
CHEMBL5411877,CHEMBL5499076,CCc1cnn2c1-c1cc(C(=O)N[C@@H]3CNCC[C@H]3c3ccc(F)c(F)c3)sc1OCC2,,9.66,1,9.66,9.66,IC50,B,single protein format,single_protein,9,D,2023,,458.53400000000016,3.720100000000002,68.18,2,5,4,5,3,0.391304347826087,0.6254790095941343
CHEMBL496690,CHEMBL496690,NC[C@H](Cc1ccc(F)cc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,,9.61,2,9.0,10.22,IC50;Ki,B,single protein format,single_protein,8,H,2009,,473.37100000000015,4.492800000000003,83.79999999999998,3,4,6,4,4,0.14285714285714285,0.38594382148899137
CHEMBL470597,CHEMBL470597,NC[C@H](Cc1ccccc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,,9.61,2,9.0,10.22,IC50;Ki,B,single protein format,single_protein,8,H,2009,,455.3810000000001,4.353700000000003,83.79999999999998,3,4,6,4,4,0.14285714285714285,0.4042512481600572
CHEMBL6038712,CHEMBL6038712,CC1(C)C(=O)Nc2ncnc(N3CCC(c4nc(-c5cncc(F)c5)ccc4NCCN4CCCC4)CC3)c21,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,8,H,2020,,530.6520000000003,4.194100000000003,99.17,2,8,7,6,3,0.4827586206896552,0.46921683502724726
CHEMBL6009143,CHEMBL6009143,CN(C)CCNc1ccc(-c2cc(Cl)nn2C)nc1C1CCN(c2ncnc3c2C(C)(C)C(=O)N3)CC1,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,8,H,2020,,524.0730000000003,3.5127000000000015,104.1,2,8,7,5,3,0.5,0.4845909884106632
CHEMBL6005110,CHEMBL6005110,CC(C)(C)NCCNc1ccc(-c2noc(C(F)F)n2)nc1C1CCN(c2ncnc3c2C(C)(C)C(=O)N3)CC1,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,8,H,2020,,555.6340000000001,4.2729000000000035,133.99,3,10,8,5,3,0.5555555555555556,0.345998980804579
CHEMBL5741074,CHEMBL5741074,CC(C)NCCNc1ccc(-c2nnc(C(F)F)s2)nc1C1CCN(c2ncnc3c2C(C)(C)C(=O)N3)CC1,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,8,H,2020,,557.6750000000002,4.351300000000003,120.85,3,10,9,5,3,0.5384615384615384,0.329802100964989
CHEMBL5995978,CHEMBL5995978,CCNCCNc1ccc(-c2cncc(F)c2)nc1C1CCN(c2ncnc3c2C(C)(C)C(=O)N3)CC1,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,8,H,2020,,504.6140000000004,3.7078000000000024,107.96000000000001,3,8,8,5,3,0.4444444444444444,0.3987228370187762
CHEMBL5748077,CHEMBL5748077,CC1(C)C(=O)Nc2ncnc(N3CCC(c4nc(-c5ccc(F)nc5)ccc4NCCN4CCCC4)CC3)c21,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,8,H,2020,,530.6520000000003,4.194100000000003,99.17,2,8,7,6,3,0.4827586206896552,0.4389337495688504
CHEMBL5753779,CHEMBL5753779,CC(C)NCCNc1cc(F)c(-c2cncc(F)c2)nc1C1CCN(c2ncnc3c2C(C)(C)C(=O)N3)CC1,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,8,H,2020,,536.6310000000002,4.235400000000003,107.96000000000001,3,8,8,5,3,0.4642857142857143,0.3672686916158092
CHEMBL5405650,CHEMBL5498957,O=C(N[C@@H]1CNCC[C@H]1c1cc(F)cc(F)c1)c1ccc2c(c1)OCCn1nccc1-2,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,9,D,2023,,424.4510000000002,3.0962000000000014,68.18,2,4,3,5,3,0.30434782608695654,0.6782034807726605
CHEMBL3936990,CHEMBL3936990,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C)c3)cn2CC2CN(C)C2)CC1,,9.52,2,9.52,9.52,IC50,B,single protein format,single_protein,8,H,2015,,463.6050000000003,3.8778200000000034,76.10000000000001,1,6,6,5,3,0.5,0.5980077160782371
