molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL100391,CHEMBL100391,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,,6.3,1,6.3,6.3,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL101119,CHEMBL101119,CN(C)CC(O)COc1ccc(Nc2cc(N(CC#N)c3cc(Cl)ccc3Cl)ncn2)cc1,,6.0,1,6.0,6.0,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL101311,CHEMBL101311,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,,6.0,1,6.0,6.0,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL101801,CHEMBL101801,NC(=O)c1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1,,7.47,1,7.47,7.47,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL101810,CHEMBL101810,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C(F)(F)F)ccc3F)n2)cc1,,6.0,1,6.0,6.0,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL102241,CHEMBL102241,COc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1F,,6.39,1,6.39,6.39,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL102636,CHEMBL102636,COc1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1,,6.66,1,6.66,6.66,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL102926,CHEMBL102926,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,,8.0,3,7.5,9.0,IC50,B,single protein format,single_protein,8,H,2003;2005;2006,
CHEMBL103039,CHEMBL103039,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(N4CCOCC4)c3)[nH]n2)cc1,,6.31,1,6.31,6.31,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL103104,CHEMBL103104,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1,GW831090X,8.04,1,8.04,8.04,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL103115,CHEMBL103115,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1,GW831091X,7.9,1,7.9,7.9,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL103285,CHEMBL103285,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(Br)c3)[nH]n2)cc1,,7.63,1,7.63,7.63,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL103355,CHEMBL103355,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1,,8.22,1,8.22,8.22,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL103382,CHEMBL103382,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1,,7.76,1,7.76,7.76,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL107530,CHEMBL107530,Nc1nc(Nc2cccc(Br)c2)nc(OCC2CCCCC2)c1N=O,,6.3,1,6.3,6.3,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL1076581,CHEMBL1076581,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(Cl)cc1Cl,,6.49,1,6.49,6.49,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1076721,CHEMBL1076721,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccnc2)cc1,,7.21,1,7.21,7.21,Ki,B,single protein format,single_protein,8,H,2010,
CHEMBL1080561,CHEMBL1080561,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(C(F)(F)F)c4)s3)cc12,,7.46,1,7.46,7.46,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080569,CHEMBL1080569,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.29,2,7.28,7.3,IC50,B,single protein format,single_protein,8,H,2010;2011,
CHEMBL1080740,CHEMBL1080740,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4)s3)cc12,,7.14,1,7.14,7.14,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080891,CHEMBL1080891,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4Cl)s3)cc12,,7.24,1,7.24,7.24,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080892,CHEMBL1080892,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccccc4C(F)(F)F)s3)cc12,,6.7,1,6.7,6.7,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080893,CHEMBL1080893,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(Cl)c4)s3)cc12,,7.77,1,7.77,7.77,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080902,CHEMBL1080902,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccc(OC)c2)cc1,,7.02,1,7.02,7.02,Ki,B,single protein format,single_protein,8,H,2010,
CHEMBL1080911,CHEMBL1080911,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc12,,7.77,1,7.77,7.77,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080912,CHEMBL1080912,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(Cl)cc4Cl)s3)cc12,,7.16,1,7.16,7.16,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1080913,CHEMBL1080913,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(F)c(F)c4)s3)cc12,,7.72,1,7.72,7.72,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081104,CHEMBL1081104,N[C@H](CNc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,,7.03,1,7.03,7.03,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081105,CHEMBL1081105,N[C@H](CCc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,,6.93,1,6.93,6.93,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081119,CHEMBL1081119,N[C@H](CNc1nnc(-c2ccc3cnccc3c2)o1)Cc1ccc(C(F)(F)F)cc1,,6.46,1,6.46,6.46,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081263,CHEMBL1081263,N[C@H](CNc1ncc(-c2ccc3cnccc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.91,1,7.91,7.91,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081295,CHEMBL1081295,Nc1cc2cc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)ccc2cn1,,7.81,1,7.81,7.81,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081296,CHEMBL1081296,N[C@H](CNc1ncc(-c2ccc3cncnc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,6.87,1,6.87,6.87,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081437,CHEMBL1081437,N[C@H](CNc1nnc(-c2ccc3[nH]nc(C4CC4)c3c2)s1)Cc1ccc(C(F)(F)F)cc1,,6.87,1,6.87,6.87,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081438,CHEMBL1081438,N[C@H](CNc1nnc(-c2ccc3[nH]nc(-c4ccccc4)c3c2)s1)Cc1cccc(C(F)(F)F)c1,,7.1,1,7.1,7.1,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081439,CHEMBL1081439,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(F)cc1,,7.13,1,7.13,7.13,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081451,CHEMBL1081451,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(Cl)cc1,,7.39,1,7.39,7.39,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081628,CHEMBL1081628,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(C(F)(F)F)cc1,,7.62,1,7.62,7.62,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1081629,CHEMBL1081629,Cc1cc2cc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)ccc2cn1,,6.22,1,6.22,6.22,IC50,B,single protein format,single_protein,8,H,2010,
