molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL526110,CHEMBL526110,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,,9.52,1,9.52,9.52,IC50,B,single protein format,single_protein,9,D,2008,,333.31100000000004,2.8381000000000007,111.14,1,7,4,4,4,0.0,0.45124866345835496
CHEMBL317703,CHEMBL317703,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,,9.48,1,9.48,9.48,IC50,B,single protein format,single_protein,8,H,2003,,359.367,2.3759000000000006,144.01,3,6,5,3,3,0.0,0.4710153883929621
CHEMBL321517,CHEMBL321517,Nc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1,,9.47,1,9.47,9.47,IC50,B,single protein format,single_protein,8,H,2003,,329.385,2.0499,126.88999999999997,4,5,4,3,3,0.0,0.5447916495594595
CHEMBL476577,CHEMBL476577,CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,,9.3,1,9.3,9.3,IC50,B,single protein format,single_protein,8,H,2008,,423.4960000000002,3.4368200000000018,87.97000000000001,2,6,6,4,3,0.36363636363636365,0.6315804358141601
CHEMBL4088242,CHEMBL4088242,CC[C@@H](C)Oc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C=O,,9.1,1,9.1,9.1,IC50,B,single protein format,single_protein,9,D,2017,,365.41500000000013,1.4396000000000002,150.29,3,8,7,2,2,0.26666666666666666,0.623581136468043
CHEMBL4446357,CHEMBL4446357,C[C@@]1(O)CCC[C@H]1n1c(=O)c(C(F)F)cc2cnc(NC3CCN(S(C)(=O)=O)CC3)nc21,EBVACICLIB,9.05,2,8.05,10.05,EC50;Ki,B,cell-based format;single protein format,mixed,9,D,2021,2,471.5300000000003,2.041,117.42,2,7,5,4,2,0.65,0.6852759585897815
CHEMBL5171657,CHEMBL5171657,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(C3CCCC[C@H]3CCO)nc12,,9.0,1,9.0,9.0,IC50,B,cell-based format,cell_based,9,D,2022,,395.5070000000003,3.193400000000002,89.39,2,5,7,4,3,0.5,0.47366330392107014
CHEMBL509406,CHEMBL509406,Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,,9.0,1,9.0,9.0,IC50,B,single protein format,single_protein,8,H,2008,,469.5400000000002,4.075220000000003,87.97,2,6,6,4,3,0.4166666666666667,0.5658536505803158
CHEMBL1964249,CHEMBL1964249,COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,,9.0,1,9.0,9.0,IC50,B,single protein format,single_protein,8,H,2001,,576.6970000000001,3.0181000000000013,128.32,2,10,16,4,3,0.38461538461538464,0.19533551420579584
CHEMBL186890,CHEMBL186890,Clc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1Cl,,9.0,1,9.0,9.0,Ki,B,single protein format,single_protein,9,D,2004,,357.20400000000006,4.236700000000001,68.0,1,5,3,4,4,0.0,0.5941222218012333
CHEMBL184510,CHEMBL184510,Fc1cc(F)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,,9.0,1,9.0,9.0,Ki,B,single protein format,single_protein,9,D,2004,,324.29400000000004,3.208100000000001,68.0,1,5,3,4,4,0.0,0.6266029600672957
CHEMBL478409,CHEMBL478409,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1,,9.0,1,9.0,9.0,IC50,B,single protein format,single_protein,8,H,2008,,430.53400000000016,2.8977200000000005,111.02999999999999,2,7,9,3,3,0.35,0.5021777703664401
CHEMBL1171950,CHEMBL1171950,NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,,9.0,1,9.0,9.0,IC50,B,single protein format,single_protein,8,H,2010,,363.4250000000001,1.6299999999999992,124.74000000000001,3,6,6,4,3,0.2631578947368421,0.6111916337718877
CHEMBL559513,CHEMBL559513,CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,,9.0,1,9.0,9.0,IC50,B,single protein format,single_protein,8,H,2009,,418.5050000000003,1.5699999999999996,105.19999999999999,2,7,4,5,3,0.36363636363636365,0.6625200810088372
CHEMBL4292930,CHEMBL4292930,Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,,9.0,1,9.0,9.0,IC50,B,cell-based format,cell_based,9,D,2017,,382.4680000000003,2.0245200000000003,92.63,2,6,6,4,3,0.45,0.5005436909062704
CHEMBL5266005,CHEMBL5266005,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,,9.0,1,9.0,9.0,IC50,B,single protein format,single_protein,9,D,2022,,396.4950000000003,2.2785000000000006,92.63,2,6,7,4,3,0.47619047619047616,0.4701697526686685
CHEMBL5201870,CHEMBL5201870,COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)C)C3)[nH]n2)n(C)n1,TEGTOCICLIB,8.96,1,8.96,8.96,IC50,B,single protein format,single_protein,9,D,2024,2,404.47100000000006,2.3125999999999998,123.15999999999998,3,6,7,3,2,0.5789473684210527,0.6506771406942764
