target_dir,species,target_chembl_id,n_actives,n_single_protein,mw_min,mw_p5,mw_p25,mw_median,mw_p75,mw_p95,mw_max,clogp_min,clogp_p5,clogp_p25,clogp_median,clogp_p75,clogp_p95,clogp_max,tpsa_min,tpsa_p5,tpsa_p25,tpsa_median,tpsa_p75,tpsa_p95,tpsa_max,hbd_min,hbd_p5,hbd_p25,hbd_median,hbd_p75,hbd_p95,hbd_max,hba_min,hba_p5,hba_p25,hba_median,hba_p75,hba_p95,hba_max,rotb_min,rotb_p5,rotb_p25,rotb_median,rotb_p75,rotb_p95,rotb_max,n_rings_min,n_rings_p5,n_rings_p25,n_rings_median,n_rings_p75,n_rings_p95,n_rings_max,n_arom_rings_min,n_arom_rings_p5,n_arom_rings_p25,n_arom_rings_median,n_arom_rings_p75,n_arom_rings_p95,n_arom_rings_max,fsp3_min,fsp3_p5,fsp3_p25,fsp3_median,fsp3_p75,fsp3_p95,fsp3_max,qed_min,qed_p5,qed_p25,qed_median,qed_p75,qed_p95,qed_max,pchembl_median_min,pchembl_median_p5,pchembl_median_p25,pchembl_median_median,pchembl_median_p75,pchembl_median_p95,pchembl_median_max
aa2ar,human,CHEMBL251,5268,941,180.16699999999997,278.6192500000001,338.39400000000006,394.64300000000014,459.4600000000002,558.5974000000001,1344.5839999999994,-2.897399999999998,0.497875,2.1483749999999997,2.930750000000001,3.7020150000000003,4.8424745000000025,8.328600000000005,0.0,60.9035,81.91,98.12,119.31,166.92,419.2799999999999,0.0,1.0,1.0,1.0,2.0,5.0,10.0,0.0,4.0,5.0,6.0,8.0,10.0,20.0,0.0,2.0,3.0,5.0,6.0,10.0,43.0,1.0,3.0,4.0,4.0,5.0,6.0,12.0,0.0,2.0,3.0,4.0,4.0,5.0,8.0,0.0,0.0,0.11764705882352941,0.2608695652173913,0.3684210526315789,0.5,0.7727272727272727,0.010859456648483062,0.22037981414939578,0.42311771826905986,0.5444125436519253,0.6793405714435952,0.7893661396614449,0.9466744510437565,6.0,6.17,6.67375,7.31,8.15,9.1,11.0
abl1,human,CHEMBL1862,2483,1690,226.283,298.3521,356.36150000000004,444.333,490.91900000000015,575.5796,1416.156,0.2725999999999998,2.5671400000000006,3.626970000000002,4.356120000000003,5.092310000000005,6.105288000000006,8.142320000000005,24.92,46.410000000000004,66.39000000000001,83.2,100.47,121.789,360.3999999999999,0.0,1.0,1.0,2.0,2.0,3.0,6.0,1.0,3.0,4.0,5.0,6.0,8.0,21.0,0.0,2.0,4.0,5.0,6.0,9.0,33.0,2.0,3.0,4.0,4.0,5.0,6.0,11.0,1.0,3.0,3.0,3.0,4.0,5.0,6.0,0.0,0.05555555555555555,0.17391304347826086,0.22727272727272727,0.2857142857142857,0.391304347826087,0.6363636363636364,0.010025477576808498,0.227250404567642,0.3665342558911546,0.5023321199373604,0.6734869638181773,0.7966650824355435,0.9451423439952004,6.0,6.18,6.89,7.9,8.85,9.52,10.82
aces,torpedo,CHEMBL4780,176,176,181.21499999999997,234.4525,389.4860000000001,497.7680000000003,591.8000000000001,661.89225,897.7109999999993,0.5555999999999992,1.98405,4.179675000000003,5.4272000000000045,7.3826400000000065,9.232240000000001,10.870339999999992,12.89,33.9225,55.964999999999996,79.56,95.15,110.81,114.2,0.0,0.0,1.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,5.0,5.0,7.0,8.0,0.0,1.0,4.75,10.0,13.25,17.0,30.0,1.0,1.0,4.0,4.0,5.0,6.0,8.0,0.0,1.0,2.0,3.0,4.0,4.0,7.0,0.0,0.08333333333333333,0.3235294117647059,0.3832035595105673,0.44037940379403795,0.6616666666666666,0.9354838709677419,0.03484452891165922,0.07767092385693268,0.12297762193670889,0.24575397864166568,0.5850513537383624,0.7446833929700614,0.8482399591613494,6.01,6.24875,6.89875,7.5875,8.23,9.41,10.82
aces,human,CHEMBL220,2929,2360,92.14099999999999,244.72499999999997,356.51300000000003,416.573,506.73800000000045,644.8576,1151.4230000000002,-1.6871000000000003,2.005372,3.6678000000000024,4.609300000000004,5.998900000000005,8.425840000000006,13.506799999999972,0.0,23.550000000000004,41.57,58.25,81.84,120.38,269.42999999999995,0.0,0.0,0.0,1.0,2.0,3.0,10.0,0.0,2.0,3.0,4.0,6.0,8.0,16.0,0.0,1.0,4.0,7.0,10.0,16.0,33.0,0.0,2.0,3.0,4.0,5.0,7.0,10.0,0.0,1.0,2.0,3.0,4.0,5.0,8.0,0.0,0.125,0.3,0.38095238095238093,0.4722222222222222,0.6513043478260868,1.0,0.01716029579174066,0.11090444083789695,0.2411582555162843,0.46422301663955473,0.6795192994504969,0.8468334475859705,0.9443781363803143,6.0,6.061999999999999,6.46,7.01,7.74,9.09,10.96
adrb1,human,CHEMBL213,1038,142,169.17999999999998,298.2898500000001,384.5010000000001,444.78150000000016,507.48625000000015,605.7222500000003,893.8629999999997,-0.33471999999999924,1.4664519999999996,2.67378,3.5035500000000015,4.420875000000002,5.605700000000006,9.0637,15.27,53.3655,82.07,94.57999999999998,115.64000000000001,149.02,214.46999999999997,0.0,2.0,3.0,4.0,4.0,6.0,8.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,1.0,5.0,7.0,10.0,12.0,17.0,28.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,1.0,1.0,2.0,3.0,3.0,4.0,6.0,0.13333333333333333,0.19203296703296704,0.2611283643892339,0.3157894736842105,0.4,0.5673809523809522,0.8461538461538461,0.029569294570151665,0.126726876628033,0.22507040289637176,0.3587725568444993,0.49271179285728084,0.7095286244484104,0.9432093554831017,6.0,6.05,6.5,7.055,7.89,9.014499999999998,10.64
akt1,human,CHEMBL4282,2803,1821,217.27599999999995,346.52880000000005,403.9150000000002,457.5340000000003,515.6025000000002,609.6478000000002,3412.1399999999894,-5.142460000000015,1.0571899999999999,2.9134450000000007,4.194600000000004,5.142120000000004,6.312670000000005,10.431319999999992,24.92,56.209999999999994,76.44,90.82000000000001,108.68,141.749,1227.8599999999997,0.0,1.0,1.0,2.0,2.0,4.0,44.0,2.0,3.0,5.0,6.0,7.0,9.0,39.0,0.0,3.0,4.0,6.0,7.0,9.0,114.0,1.0,3.0,4.0,5.0,6.0,7.0,12.0,0.0,2.0,3.0,4.0,5.0,6.0,10.0,0.0,0.09523809523809523,0.18181818181818182,0.2857142857142857,0.43478260869565216,0.5416666666666666,0.9512195121951219,0.009731201801600874,0.2026008838165423,0.344331877526328,0.462078833035678,0.598208396231275,0.8215123571013956,0.9000466427456814,6.0,6.14,6.75,7.38,8.11,8.92,10.7
cdk2,human,CHEMBL301,1776,1383,144.13699999999997,287.66824999999994,358.42300000000006,414.6940000000001,467.0750000000002,548.9220000000003,775.9319999999997,-0.8312299999999999,1.4844750000000002,2.8132000000000006,3.6224500000000015,4.386330000000003,5.393000000000004,8.645999999999999,28.68,57.36,78.09,93.24,109.59,134.125,382.53999999999996,0.0,1.0,2.0,2.0,3.0,4.0,16.0,1.0,3.0,5.0,6.0,7.0,8.0,12.0,0.0,2.0,4.0,5.0,7.0,9.0,18.0,1.0,3.0,3.0,4.0,5.0,6.0,9.0,0.0,2.0,3.0,3.0,4.0,4.0,6.0,0.0,0.0,0.125,0.2631578947368421,0.4,0.5384615384615384,0.7368421052631579,0.041866706240092956,0.2670592176579753,0.4208244287865816,0.5451694765464783,0.650664510638974,0.778884214006083,0.9139453233030894,6.0,6.1,6.5,7.055,7.7,8.52,9.52
cp3a4,human,CHEMBL340,1983,901,108.14399999999998,273.4338,361.08850000000007,443.56500000000017,543.9160000000002,705.6470000000002,1202.634999999999,-2.6179,2.0582,3.430950000000002,4.241720000000002,5.072900000000004,6.513540000000005,9.4034,0.0,36.440000000000005,59.22,81.25,105.785,140.4,278.8,0.0,0.0,1.0,1.0,2.0,4.0,8.0,0.0,2.0,4.0,5.0,7.0,9.0,17.0,0.0,2.0,4.0,6.0,8.0,15.0,25.0,0.0,2.0,3.0,4.0,5.0,7.0,9.0,0.0,1.0,3.0,3.0,4.0,5.0,7.0,0.0,0.045454545454545456,0.16666666666666666,0.3,0.4127789046653144,0.59375,1.0,0.037577727476079216,0.14261970259842283,0.3058797210281276,0.4723151398549534,0.6438516042174034,0.8034614219691852,0.9389454001739863,6.0,6.0,6.1,6.4,6.8,7.7469999999999954,10.66
dpp4,human,CHEMBL284,3610,2709,159.982,246.18879999999996,344.224,396.4675000000001,444.5797500000002,535.5630000000002,752.7649999999999,-3.4492299999999974,-0.015515999999998404,1.2992599999999994,2.1934,3.044800000000002,4.310912999999999,9.56372,9.23,46.330000000000005,70.12,85.23,102.14999999999999,127.75999999999999,234.77999999999997,0.0,1.0,1.0,1.0,2.0,3.0,8.0,1.0,3.0,4.0,5.0,6.0,7.0,12.0,0.0,2.0,3.0,4.0,6.0,8.0,16.0,0.0,2.0,3.0,3.0,4.0,5.0,8.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.2,0.34782608695652173,0.4375,0.5625,0.8461538461538461,0.9473684210526315,0.10138074736808961,0.3640169777843475,0.5658661005900496,0.7116294095404364,0.8074697303315578,0.9004967904269644,0.9476216445996608,6.0,6.22,6.9,7.52,8.19,9.065499999999998,10.1
drd3,human,CHEMBL234,5453,1025,153.18099999999998,288.39400000000006,387.9260000000001,447.3660000000001,493.57900000000035,557.7620000000004,1203.4529999999993,-0.2492999999999997,2.4083,3.4270000000000023,4.193900000000003,4.948100000000004,6.207620000000006,16.768599999999967,0.0,20.310000000000002,41.57000000000001,57.7,71.33,93.22,312.2,0.0,0.0,0.0,1.0,1.0,2.0,9.0,0.0,2.0,4.0,5.0,6.0,7.0,17.0,0.0,3.0,6.0,7.0,8.0,11.0,44.0,0.0,2.0,4.0,4.0,5.0,6.0,13.0,0.0,1.0,2.0,3.0,3.0,4.0,8.0,0.0,0.2727272727272727,0.35,0.44,0.5714285714285714,0.72,1.0,0.015786542321659103,0.2362134467629897,0.41124740922134567,0.5499569574279668,0.7006146503077895,0.8425935578554772,0.9462011824146623,6.0,6.2,7.0,7.82,8.59,9.6,10.92
dyr,human,CHEMBL202,545,467,192.222,254.4994,316.3860000000001,370.45300000000015,438.4440000000002,529.7002000000003,979.9100000000002,-1.0388999999999924,0.2927200000000006,1.5385999999999995,2.574200000000001,3.4635200000000017,4.80514,7.956100000000009,34.53,70.72,87.05,103.83999999999999,134.60999999999999,214.83999999999995,444.57,0.0,1.0,2.0,2.0,3.0,6.0,13.0,2.0,4.0,5.0,6.0,8.0,10.0,16.0,0.0,2.0,3.0,5.0,9.0,10.0,29.0,1.0,2.0,3.0,3.0,3.0,5.0,8.0,0.0,1.0,3.0,3.0,3.0,4.0,6.0,0.0,0.0625,0.15789473684210525,0.22727272727272727,0.3,0.5,0.6875,0.02917904187658817,0.19323589224395904,0.326731255432175,0.6200064109195768,0.7468307969967952,0.8483928696055703,0.8994202322806447,6.0,6.09,6.46,6.9,7.68,8.695999999999998,10.87
egfr,human,CHEMBL203,8251,4981,130.15,319.32700000000006,418.85000000000014,496.40900000000016,565.0560000000003,655.1730000000003,3688.828999999989,-7.506100000000074,2.6346,3.794500000000002,4.6068000000000024,5.542290000000005,6.977910000000005,13.116499999999979,9.49,56.269999999999996,79.8,98.41,112.16000000000001,140.03,1465.459999999999,0.0,1.0,2.0,2.0,3.0,4.0,53.0,1.0,4.0,6.0,7.0,8.0,10.0,45.0,0.0,3.0,5.0,7.0,9.0,12.0,124.0,1.0,3.0,4.0,4.0,5.0,7.0,11.0,0.0,3.0,3.0,4.0,4.0,5.0,9.0,0.0,0.041666666666666664,0.16,0.25,0.3333333333333333,0.4375,0.9117647058823529,0.009580295920662204,0.1403104640673675,0.23056934168831544,0.3480422190428446,0.5014443573037166,0.7221087931146013,0.9345457896737078,6.0,6.15,6.76,7.46,8.16,9.03,11.0
gria2,human,CHEMBL4016,104,28,147.13,189.196,315.62550000000005,351.493,387.4372500000001,445.7387000000002,474.60800000000023,-2.6565000000000003,-1.9894949999999998,1.2458749999999998,2.9240100000000013,4.248395000000004,4.987235000000004,5.301280000000004,25.240000000000002,49.03,66.02000000000001,75.25,99.27,131.07,169.54000000000002,0.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.0,1.0,2.0,3.0,3.0,4.0,6.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,0.0,0.13636363636363635,0.23081841432225064,0.3333333333333333,0.42857142857142855,0.5,0.631578947368421,0.2030994946583445,0.5157739188344588,0.6333979119165314,0.7391005856993195,0.7975505021125316,0.9251692558556459,0.9456751059855532,6.0,6.01,6.28375,6.43,6.91,7.7785,8.875
jak2,human,CHEMBL2971,10831,9469,177.24699999999996,320.39600000000013,394.44200000000023,445.48300000000035,511.67200000000037,617.7540000000004,901.8209999999997,-0.33269999999999844,1.4737499999999994,2.5032800000000006,3.240300000000002,4.003780000000003,5.155460000000002,7.881980000000002,6.48,68.52,90.97999999999999,107.76,125.47,150.17999999999998,379.29999999999995,0.0,1.0,1.0,2.0,3.0,4.0,16.0,0.0,4.0,5.0,6.0,7.0,9.0,13.0,0.0,3.0,4.0,6.0,7.0,9.0,24.0,0.0,3.0,4.0,5.0,5.0,6.0,11.0,0.0,2.0,3.0,3.0,4.0,4.0,6.0,0.0,0.125,0.28,0.375,0.4583333333333333,0.5925925925925926,0.75,0.03676929357592039,0.25399180267421795,0.4034047823955397,0.5212283372127384,0.6487140786940314,0.8006773728396235,0.9405770134915019,6.0,6.2,6.89,7.59,8.58,9.6,10.97
