molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL104,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,CLOTRIMAZOLE,7.16,2,6.52,7.8,IC50,B,cell-based format;single protein format,mixed,8,H,2015,4
CHEMBL5483011,CHEMBL115,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,INDINAVIR,6.4,1,6.4,6.4,IC50,B,cell-based format,cell_based,8,H,,4
CHEMBL115769,CHEMBL115769,COc1cc(N)[nH]c2nc(-c3ccc(F)cc3)c(-c3ccncc3)c1-2,,6.0,1,6.0,6.0,IC50,B,cell-based format,cell_based,8,H,,
CHEMBL116,CHEMBL116,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,AMPRENAVIR,6.0,1,6.0,6.0,IC50,B,cell-based format,cell_based,8,H,,4
CHEMBL1172847,CHEMBL1172847,CC(C)=C(c1ccncc1)c1ccc(-c2ccc(O)c(O)c2)cc1,,6.33,1,6.33,6.33,IC50,B,microsome format,other,8,H,2010,
CHEMBL1172882,CHEMBL1172882,Oc1cccc(-c2ccc(Cc3ccncc3)cc2)c1,,6.27,1,6.27,6.27,IC50,B,microsome format,other,8,H,2010,
CHEMBL1173259,CHEMBL1173259,CC(C)=C(c1ccncc1)c1ccc(-c2cccc(O)c2)cc1,,6.14,1,6.14,6.14,IC50,B,microsome format,other,8,H,2010,
CHEMBL1173260,CHEMBL1173260,Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F,,6.05,1,6.05,6.05,IC50,B,microsome format,other,8,H,2010,
CHEMBL1201375,CHEMBL1201375,CC1(C)CCSc2ccc(C#Cc3ccc(C(=O)O)cn3)cc21,TAZAROTENIC ACID,6.85,1,6.85,6.85,IC50,B,assay format,other,9,D,2018,-1
CHEMBL1221,CHEMBL1221,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,SULCONAZOLE,7.16,1,7.16,7.16,IC50,B,cell-based format,cell_based,8,H,,4
CHEMBL1262,CHEMBL1262,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,OXICONAZOLE,7.05,1,7.05,7.05,IC50,B,cell-based format,cell_based,8,H,,4
CHEMBL1385840,CHEMBL1385840,CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,ERGOCORNINE,6.3,1,6.3,6.3,IC50,B,cell-based format,cell_based,8,H,,
CHEMBL1403281,CHEMBL1403281,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,ERGOCRYPTINE,6.22,1,6.22,6.22,IC50,B,cell-based format,cell_based,8,H,,
CHEMBL1437764,CHEMBL1437764,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CLIMBAZOLE,7.0,1,7.0,7.0,IC50,B,tissue-based format,other,8,H,2015,2
CHEMBL1471,CHEMBL1471,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,APREPITANT,7.7,1,7.7,7.7,IC50,B,single protein format,single_protein,9,D,2017,4
CHEMBL157101,CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,KETOCONAZOLE,7.3100000000000005,4,6.3,7.92,IC50,B,assay format;cell-based format;single protein format;tissue-based format,mixed,8,H,2015,4
CHEMBL163,CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,RITONAVIR,7.8,1,7.8,7.8,IC50,B,cell-based format,cell_based,8,H,,4
CHEMBL165,CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,RESVERATROL,6.22,1,6.22,6.22,IC50,B,cell-based format,cell_based,8,H,,3
CHEMBL1729,CHEMBL1729,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,CISAPRIDE,6.52,1,6.52,6.52,IC50,B,cell-based format,cell_based,8,H,,4
CHEMBL1969102,CHEMBL1969102,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cn[nH]c5)cnc(N)c34)cc2)c1,,6.32,2,6.12,6.52,IC50,B,assay format,other,9,D,2014,
CHEMBL2103760,CHEMBL2103760,CC[C@]1(C)C[C@@H](OC(=O)CSc2nnc(N)[nH]2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,AZAMULIN,6.62,1,6.62,6.62,IC50,B,microsome format,other,9,D,2021,2
CHEMBL269732,CHEMBL269732,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,TACROLIMUS ANHYDROUS,6.0,1,6.0,6.0,IC50,B,cell-based format,cell_based,8,H,,4
CHEMBL275066,CHEMBL275066,c1ccc(-n2ccnc2)cc1,,6.0,1,6.0,6.0,IC50,B,single protein format,single_protein,8,H,2015,
