molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL3407558,CHEMBL3407558,COc1cc(NC(=O)C[C@@]2(C)C[C@H](c3cccc(Cl)c3)[C@@H](c3ccc(Cl)cc3)N([C@H](CS(=O)(=O)C(C)(C)C)C3CC3)C2=O)ccc1C(=O)O,,10.3,1,10.3,10.3,IC50,B,single protein format,single_protein,9,D,2015,,729.7229999999998,7.7844000000000095,130.07999999999998,2,6,11,5,3,0.43243243243243246,0.20622684832664534
CHEMBL3125537,CHEMBL3125537,CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,,10.02,1,10.02,10.02,IC50,B,single protein format,single_protein,9,D,2015,,580.5740000000002,6.523500000000007,91.75000000000001,1,4,8,4,2,0.5172413793103449,0.3838206249055823
CHEMBL3407554,CHEMBL3407554,CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)c(F)c1,,9.99,1,9.99,9.99,IC50,B,single protein format,single_protein,9,D,2015,,598.5640000000002,6.662600000000007,91.75000000000001,1,4,8,4,2,0.5172413793103449,0.3669799064804495
CHEMBL3407575,CHEMBL3407575,COc1cc(NC(=O)C[C@@]2(C)C[C@H](c3cccc(Cl)c3)[C@@H](c3ccc(Cl)c(F)c3)N([C@H](CS(=O)(=O)C(C)(C)C)C3CC3)C2=O)ccc1C(=O)O,,9.48,1,9.48,9.48,IC50,B,single protein format,single_protein,9,D,2015,,747.7129999999999,7.923500000000009,130.07999999999998,2,6,11,5,3,0.43243243243243246,0.2039224813276371
CHEMBL3236364,CHEMBL3236364,CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(N)=O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,,8.74,1,8.74,8.74,IC50,B,single protein format,single_protein,9,D,2015,,579.5900000000003,5.924200000000005,97.53999999999999,1,4,8,4,2,0.5172413793103449,0.41969715234237304
CHEMBL163,CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,RITONAVIR,7.8,1,7.8,7.8,IC50,B,cell-based format,cell_based,8,H,,4,720.9620000000001,5.905200000000005,145.77999999999997,4,9,17,4,4,0.43243243243243246,0.10624046585910331
CHEMBL1471,CHEMBL1471,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,APREPITANT,7.7,1,7.7,7.7,IC50,B,single protein format,single_protein,9,D,2017,4,534.4320000000001,4.952100000000003,83.24000000000001,2,5,6,4,3,0.391304347826087,0.4376253118047192
CHEMBL157101,CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,KETOCONAZOLE,7.3100000000000005,4,6.3,7.92,IC50,B,assay format;cell-based format;single protein format;tissue-based format,mixed,8,H,2015,4,531.4399999999999,4.205800000000003,69.06,0,6,7,5,3,0.38461538461538464,0.45541449702144693
CHEMBL808,CHEMBL808,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,ECONAZOLE,7.3,1,7.3,7.3,IC50,B,cell-based format,cell_based,8,H,,4,381.69000000000005,5.801400000000003,27.05,0,2,6,3,3,0.16666666666666666,0.5391871956552778
CHEMBL104,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,CLOTRIMAZOLE,7.16,2,6.52,7.8,IC50,B,cell-based format;single protein format,mixed,8,H,2015,4,344.845,5.376700000000004,17.82,0,1,4,4,4,0.045454545454545456,0.4545449847420715
CHEMBL1221,CHEMBL1221,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,SULCONAZOLE,7.16,1,7.16,7.16,IC50,B,cell-based format,cell_based,8,H,,4,397.75800000000015,6.518000000000003,17.82,0,2,6,3,3,0.16666666666666666,0.4710605975806781
CHEMBL1262,CHEMBL1262,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,OXICONAZOLE,7.05,1,7.05,7.05,IC50,B,cell-based format,cell_based,8,H,,4,429.1340000000001,6.117800000000003,39.41,0,3,6,3,3,0.1111111111111111,0.350148407155942
CHEMBL1437764,CHEMBL1437764,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,CLIMBAZOLE,7.0,1,7.0,7.0,IC50,B,tissue-based format,other,8,H,2015,2,292.766,3.729300000000002,44.120000000000005,0,3,4,2,2,0.3333333333333333,0.8622594770545061
CHEMBL91,CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,MICONAZOLE,7.0,1,7.0,7.0,IC50,B,cell-based format,cell_based,8,H,,4,416.1350000000001,6.454800000000002,27.05,0,2,6,3,3,0.16666666666666666,0.4616906207935435
CHEMBL5785788,CHEMBL5785788,CC(C(c1ccc(Nc2nc3ccccc3s2)cc1)n1ccnc1)N(C)C,,6.92,1,6.92,6.92,IC50,B,assay format,other,9,D,2018,,377.51700000000005,4.775900000000004,45.980000000000004,1,5,6,4,4,0.23809523809523808,0.525393045067477
