molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL1082462,CHEMBL1082462,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,DBPR-108,8.0,3,7.82,8.3,IC50,B,single protein format,single_protein,8,H,2010,3
CHEMBL1082463,CHEMBL1082463,CC(C)(CC(=O)N1CC[C@@H](O)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,,7.64,3,7.52,7.68,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1082464,CHEMBL1082464,CC(C)(CC(=O)N1CC[C@H](O)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,,7.3,1,7.3,7.3,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1082465,CHEMBL1082465,CC(C)(CC(=O)N1CC[C@@H](F)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,,7.41,1,7.41,7.41,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1082707,CHEMBL1082707,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)N3CCCC3)C[C@@H]2C1,,7.41,1,7.41,7.41,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1082708,CHEMBL1082708,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)N3CCCCC3)C[C@@H]2C1,,7.16,1,7.16,7.16,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1082716,CHEMBL1082716,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)N3CCOCC3)C[C@@H]2C1,,7.3,1,7.3,7.3,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1082996,CHEMBL1082996,C#C[C@@H]1C[C@H](F)CN1C(=O)CC(C)(C)CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1,,6.68,3,6.07,7.82,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1082997,CHEMBL1082997,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1CCC[C@H]1C#N,,7.15,1,7.15,7.15,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1083031,CHEMBL1083031,COC(=O)N1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1,,7.62,1,7.62,7.62,IC50,B,single protein format,single_protein,8,H,2010,
