molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL5914058,CHEMBL5914058,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nccnc1C#N)c(=O)n2C,,10.1,1,10.1,10.1,IC50,B,single protein format,single_protein,9,D,2019,,433.47600000000017,-0.4425199999999978,140.65,1,8,4,4,3,0.42857142857142855,0.5460043944711738
CHEMBL4113723,CHEMBL4113723,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3cc(F)ccc3s1)c(=O)n2C,,10.1,3,8.85,10.3,IC50,B,single protein format,single_protein,8;9,D;H,2016;2023,,481.5570000000002,1.6445999999999998,103.97000000000003,1,7,4,5,4,0.391304347826087,0.4447232193600213
CHEMBL98869,CHEMBL98869,N[C@@H](CCNCc1ccc(Cl)cc1)C(=O)N1CCCCC1,,10.09,1,10.09,10.09,Ki,B,single protein format,single_protein,9,D,2006,,309.8410000000001,2.1594999999999995,58.36,2,3,6,2,1,0.5625,0.7917746437474849
CHEMBL5269668,CHEMBL5269668,CC#CCN1C(N2CCC[C@@H](N)C2)=NC2C1C(=O)N(Cc1cccnc1C#N)C(=O)N2Cc1cccnc1C#N,,10.05,1,10.05,10.05,IC50,B,single protein format,single_protein,9,D,2018,,536.6000000000003,0.9970600000000036,158.83999999999997,1,10,5,5,2,0.39285714285714285,0.5500880216434924
CHEMBL186877,CHEMBL186877,COc1cc(OC)cc(-c2nc(-c3ccc(Cl)cc3Cl)c(CN(C)C)c(N(C)C)n2)c1,,10.0,1,10.0,10.0,IC50,B,single protein format,single_protein,8,H,2004,,461.3930000000002,5.262200000000005,50.720000000000006,0,6,7,3,3,0.30434782608695654,0.47848192348498964
CHEMBL34062,CHEMBL34062,COc1cc(OC)cc(-c2nc(N)c(CN)c(-c3ccc(Cl)cc3Cl)n2)c1,,10.0,1,10.0,10.0,IC50,F,assay format,other,8,H,2004,,405.285,4.175500000000001,96.28,2,6,5,3,3,0.15789473684210525,0.6613897544741111
CHEMBL4448186,CHEMBL4448186,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(Cl)cc1C(=O)O)c(=O)n2C,,10.0,1,10.0,10.0,IC50,B,cell-based format,cell_based,9,D,2019,,484.9440000000002,1.2474000000000005,128.38000000000002,2,6,5,4,3,0.391304347826087,0.521263413948538
CHEMBL3806052,CHEMBL3806052,N[C@H]1C[C@@H](N2Cc3nn4nccnc4c3C2)CO[C@@H]1c1cc(F)ccc1F,,9.92,1,9.92,9.92,IC50,B,single protein format,single_protein,9,D,2016,,372.379,1.5756,81.57000000000001,1,6,2,5,3,0.3888888888888889,0.7355694449176319
CHEMBL4111229,CHEMBL4111229,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc3ccccc3s1)c(=O)n2C,,9.91,2,9.82,10.0,IC50,B,single protein format,single_protein,8,H,2016,,463.5670000000002,1.5054999999999996,103.97000000000003,1,7,4,5,4,0.391304347826087,0.46026917399519357
CHEMBL194717,CHEMBL194717,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1Cl,,9.89,1,9.89,9.89,IC50,B,single protein format,single_protein,9,D,2005,,343.818,1.868659999999999,91.94999999999999,2,5,3,3,1,0.47058823529411764,0.8736878198499509
CHEMBL370046,CHEMBL370046,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1C#N,,9.89,1,9.89,9.89,IC50,B,single protein format,single_protein,9,D,2005,,334.38300000000004,1.0869399999999991,115.73999999999998,2,6,3,3,1,0.4444444444444444,0.8545205180467034
CHEMBL456420,CHEMBL456420,N#Cc1ccc(N[C@@H]2CNC(C(=O)N3CCC[C@H]3C#N)C2)cc1C#N,,9.89,1,9.89,9.89,IC50,B,single protein format,single_protein,9,D,2009,,334.38300000000004,1.0869399999999991,115.73999999999998,2,6,3,3,1,0.4444444444444444,0.8545205180467034
CHEMBL5220657,CHEMBL5220657,C=COC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,,9.89,1,9.89,9.89,IC50,B,single protein format,single_protein,9,D,2022,,269.3449999999999,0.12040000000000128,98.64999999999999,2,5,7,1,0,0.6923076923076923,0.38841182995526236
