molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL1006,CHEMBL1006,NCCCNCCSP(=O)(O)O,AMIFOSTINE,6.18,1,6.18,6.18,Ki,B,cell membrane format,other,8,H,,4
CHEMBL10085,CHEMBL10085,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,MAZAPERTINE,8.74,1,8.74,8.74,Ki,B,organism-based format,other,8,H,1997,2
CHEMBL101285,CHEMBL101285,Oc1ccccc1OCCNCc1ccccc1,,6.55,1,6.55,6.55,Ki,B,cell-based format,cell_based,8,H,1998,
CHEMBL102414,CHEMBL102414,Oc1ccc2c(c1)C1OCCN(CCc3cccs3)C1CC2,,7.08,1,7.08,7.08,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL102463,CHEMBL102463,CCCN1CCOC(c2cccc(O)c2)C1,,7.57,1,7.57,7.57,EC50,F,cell-based format,cell_based,9,D,2007,
CHEMBL102490,CHEMBL102490,CS(=O)(=O)Nc1cc(OCCNCc2cccs2)ccc1Cl,,7.56,1,7.56,7.56,Ki,B,cell-based format,cell_based,8,H,1998,
CHEMBL102582,CHEMBL102582,CCCN1CCOC2c3cc(O)ccc3CCC21,,9.68,1,9.68,9.68,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL102632,CHEMBL102632,CCCN1CCOC2c3ccsc3CCC21,,6.62,1,6.62,6.62,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL103441,CHEMBL103441,CCCN(CCc1ccsc1)CCc1cccs1,,6.93,1,6.93,6.93,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL103622,CHEMBL103622,CCCN(CCC)C1CCc2sccc2C1,,7.4,1,7.4,7.4,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL103769,CHEMBL103769,S=C(NCCCc1c[nH]cn1)NCCCN(Cc1ccc(Cl)c(Cl)c1)c1ccc(Br)cn1,,6.19,1,6.19,6.19,Ki,B,single protein format,single_protein,9,D,2024,
CHEMBL103857,CHEMBL103857,CCCN(CCC)C1CCc2ccsc2C1,,7.55,1,7.55,7.55,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL103871,CHEMBL103871,c1ccc(-c2nc(CN3CCN(c4ccccc4)CC3)c[nH]2)cc1,,6.71,1,6.71,6.71,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL103912,CHEMBL103912,CCCN(CCC)CC1CCc2ccsc2C1,,7.22,1,7.22,7.22,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL104,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,CLOTRIMAZOLE,6.05,1,6.05,6.05,Ki,B,cell membrane format,other,8,H,,4
CHEMBL104135,CHEMBL104135,CCCN(CCC)CC1CCc2sccc2C1,,6.61,1,6.61,6.61,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL104453,CHEMBL104453,c1ccc(CN2CCC(n3cccc3-c3cnco3)CC2)cc1,,6.11,1,6.11,6.11,Ki,B,cell-based format,cell_based,9,D,1999,
CHEMBL105509,CHEMBL105509,CCCN(CCC)C1CCc2nc(OC)ccc2C1,,6.8,1,6.8,6.8,Ki,B,cell-based format,cell_based,8,H,1995,
CHEMBL105512,CHEMBL105512,CCCN(CCC)C1CCc2nc(N)sc2C1,,8.72,1,8.72,8.72,Ki,B,cell-based format,cell_based,8,H,1995,
CHEMBL105623,CHEMBL105623,CCCN(CCc1ccsc1)CCc1ccsc1,,6.97,1,6.97,6.97,Ki,B,cell-based format,cell_based,8,H,2002,
CHEMBL105977,CHEMBL105977,CCCN(CCC)C1CCc2ncccc2C1,,8.3,1,8.3,8.3,Ki,B,cell-based format,cell_based,8,H,1995,
CHEMBL106047,CHEMBL106047,CCCN(CCC)C1CCc2cc(OC)ccc2C1,,6.44,1,6.44,6.44,Ki,B,cell-based format,cell_based,8,H,1995,
CHEMBL1065,CHEMBL1065,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,METHYSERGIDE,6.76,3,6.38,7.23,AC50;IC50;Ki,B,cell membrane format;single protein format,mixed,8,H,2023,4
CHEMBL106622,CHEMBL106622,CCCN1CCc2cc(F)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,,8.42,1,8.42,8.42,Ki,B,cell-based format,cell_based,9,D,2011,
CHEMBL106660,CHEMBL106660,Clc1cccc(C(OC2CC3CCC(C2)N3CCCc2ccccc2)c2ccccc2)c1,,7.14,1,7.14,7.14,Ki,B,single protein format,single_protein,8,H,2001,
CHEMBL106737,CHEMBL106737,COc1ccccc1N1CCN(CC2CN=C3c4ccccc4NC(=O)N32)CC1,,6.01,1,6.01,6.01,Ki,B,cell-based format,cell_based,8,H,1998,
CHEMBL1071,CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,OXAPROZIN,6.09,1,6.09,6.09,AC50,B,single protein format,single_protein,8,H,2023,4
CHEMBL107492,CHEMBL107492,CCCN1CCCC(c2cccc(C#N)c2)C1,,6.6,1,6.6,6.6,Ki,B,cell-based format,cell_based,9,D,1993,
CHEMBL1077344,CHEMBL1077344,O=C1N(CCN2CCCCCC2)CCN1c1cccc(Cl)c1,,8.3,1,8.3,8.3,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1077348,CHEMBL1077348,Cc1ccc(N2CCN(CCN3CCCCCC3)C2=O)cc1,,6.9,1,6.9,6.9,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1078207,CHEMBL1078207,O=S(=O)(Nc1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(-c2ccccc2)cc1,,7.5,1,7.5,7.5,Ki,F,assay format,other,8,H,2009,
CHEMBL1078208,CHEMBL1078208,CC(C)Oc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2cc[nH]n2)CC3)cc1,,7.7,1,7.7,7.7,Ki,F,assay format,other,8,H,2009,
CHEMBL1078491,CHEMBL1078491,CN1CCOc2cc(S(=O)(=O)Nc3ccc4c(c3)CCN(Cc3cc[nH]n3)CC4)ccc21,,6.2,1,6.2,6.2,Ki,F,assay format,other,8,H,2009,
CHEMBL1078492,CHEMBL1078492,O=S(=O)(Nc1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(-c2ccccn2)s1,,6.7,1,6.7,6.7,Ki,F,assay format,other,8,H,2009,
CHEMBL1078595,CHEMBL1078595,O=S(=O)(Nc1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(N2CCOCC2)nc1,,6.2,1,6.2,6.2,Ki,F,assay format,other,8,H,2009,
CHEMBL1079190,CHEMBL1079190,CN1CCCCC1CN1CCN(c2cccc(Cl)c2)C1=O,,8.4,1,8.4,8.4,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079191,CHEMBL1079191,O=C1N(CCN2CCCCCC2)CCN1c1ccc(Cl)cc1,,7.1,1,7.1,7.1,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079311,CHEMBL1079311,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2cc[nH]n2)CC3)cc1Cl,,7.0,1,7.0,7.0,Ki,F,assay format,other,8,H,2009,
CHEMBL1079461,CHEMBL1079461,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(Cl)c3)C2)n1C,,8.3,3,7.9,9.1,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079462,CHEMBL1079462,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)cc3)C2)n1C,,8.1,3,6.3,8.2,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079475,CHEMBL1079475,Cn1c(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cncnc1,,8.8,1,8.8,8.8,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079480,CHEMBL1079480,Cc1cnc(-c2nnc(SCCCN3C[C@@H]4C[C@]4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,,9.2,1,9.2,9.2,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079481,CHEMBL1079481,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(C(F)(F)F)cc3)C2)n1C,,9.3,1,9.3,9.3,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079494,CHEMBL1079494,COc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)cc1Cl,,8.3,3,6.7,8.5,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079497,CHEMBL1079497,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Br)cc5)C4)n3C)cccc2n1,,8.4,1,8.4,8.4,Ki,F,cell-based format,cell_based,9,D,2010,
CHEMBL1079577,CHEMBL1079577,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C#N)cc5)C4)n3C)cccc2n1,,7.5,1,7.5,7.5,Ki,F,cell-based format,cell_based,9,D,2010,
