molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL5841759,CHEMBL5841759,CN1Cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5ccc(OCC(C)(F)F)nc5CC4)CC3)cccc2C1=O,,10.92,1,10.92,10.92,Ki,B,assay format,other,8,H,2020,,540.6550000000002,4.480700000000004,74.77000000000001,1,5,8,5,2,0.5666666666666667,0.5346002731794118
CHEMBL5918571,CHEMBL5918571,Cn1cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5ccc(OCC(F)F)nc5CC4)CC3)cccc2n1,,10.85,1,10.85,10.85,Ki,B,assay format,other,8,H,2020,,511.61700000000025,4.391700000000004,72.28,1,5,8,5,3,0.5357142857142857,0.4857497894042329
CHEMBL5802711,CHEMBL5802711,Cc1cn2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5nc(OCC(F)F)sc5CC4)CC3)cccc2n1,,10.85,1,10.85,10.85,Ki,B,assay format,other,8,H,2022,,517.6460000000002,4.522620000000004,71.76,1,6,8,5,3,0.5769230769230769,0.47574020597215344
CHEMBL5924177,CHEMBL5924177,Cn1ncc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(OCC(C)(F)F)nc4CC3)CC2)n1,,10.8,1,10.8,10.8,Ki,B,single protein format,single_protein,8,H,2023,,490.5990000000003,2.9525000000000006,85.17,1,6,9,4,2,0.68,0.5819115259851207
CHEMBL80919,CHEMBL80919,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1cccs1,,10.7,1,10.7,10.7,Ki,B,cell-based format,cell_based,8,H,1997,,466.47800000000024,5.555800000000005,35.580000000000005,1,4,6,4,2,0.5217391304347826,0.6060117969475063
CHEMBL349426,CHEMBL349426,c1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncnc5ccccc45)CC3)CC2)cc1,,10.7,1,10.7,10.7,Ki,B,cell-based format,cell_based,8,H,1998,,415.58500000000026,4.812800000000005,44.29,1,5,6,5,3,0.46153846153846156,0.6257050793197119
CHEMBL5833667,CHEMBL5833667,CN1Cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5nc(OCC(F)(F)F)sc5CC4)CC3)cccc2C1=O,,10.66,1,10.66,10.66,Ki,B,assay format,other,8,H,2020,,550.6470000000002,4.449300000000004,74.77000000000001,1,6,7,5,2,0.5925925925925926,0.5516534967709095
CHEMBL5870203,CHEMBL5870203,Cn1cc(/C=C/C(=O)N[C@H]2CC[C@](F)(CCN3CCc4nc(OCC(C)(F)F)sc4CC3)CC2)cn1,,10.6,1,10.6,10.6,Ki,B,single protein format,single_protein,8,H,2023,,525.6410000000003,4.1818000000000035,72.28,1,6,9,4,2,0.64,0.4976103339033981
CHEMBL5201074,CHEMBL5222491,C[C@@H](NC(=O)/N=C(\N)NCCCc1ncn[nH]1)c1ccccc1,,10.59,1,10.59,10.59,Kd,B,cell-based format,cell_based,9,D,2021,,315.38100000000003,1.1124000000000003,121.08000000000001,4,3,6,2,2,0.3333333333333333,0.3613541284358761
CHEMBL5206565,CHEMBL5222872,N/C(=N\C(=O)NCc1ccccc1)NCCCc1nnc(N)s1,,10.59,1,10.59,10.59,Kd,B,cell-based format,cell_based,9,D,2021,,333.42100000000005,0.8669999999999995,131.31,4,5,6,2,2,0.2857142857142857,0.3522256814086108
