molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL100239,CHEMBL100239,Nc1nc(N)c2c(Sc3ccccc3)cccc2n1,,6.21,1,6.21,6.21,IC50,B,single protein format,single_protein,8,H,1995,
CHEMBL104787,CHEMBL104787,COc1ccc(OC)c(Cc2sc3nc(N)nc(N)c3c2C)c1,,6.14,1,6.14,6.14,IC50,B,single protein format,single_protein,8,H,1993,
CHEMBL104829,CHEMBL104829,CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"FURO[2,3D]PYRIMIDINE ANTIFOLATE",6.66,1,6.66,6.66,IC50,B,single protein format,single_protein,8,H,2000,
CHEMBL106628,CHEMBL106628,Nc1nc(N)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)coc2n1,,6.505,2,6.35,6.66,IC50,B,single protein format,single_protein,8;9,D;H,1995;2010,
CHEMBL10804,CHEMBL10804,Nc1nc(N)c2nc(COc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,,6.13,1,6.13,6.13,IC50,B,single protein format,single_protein,8,H,1980,
CHEMBL1089229,CHEMBL1089229,O=C(/C=C/c1ccccc1)Nc1ccc2nc(SC/C=C/c3ccccc3)n(Cc3ccccc3)c(=O)c2c1,,6.3,1,6.3,6.3,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1089230,CHEMBL1089230,C=CCNc1ccc2nc(SC)n(Cc3ccccc3)c(=O)c2c1,,6.1,1,6.1,6.1,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1090563,CHEMBL1090563,CSc1nc2ccc(N(C/C=C/c3ccccc3)C/C=C/c3ccccc3)cc2c(=O)n1Cc1ccccc1,,6.1,1,6.1,6.1,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1091244,CHEMBL1091244,Cc1ccc2nc(SC/C=C/c3ccccc3)n(Cc3ccccc3)c(=O)c2c1,,6.0,1,6.0,6.0,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL109260,CHEMBL109260,Nc1cc(N)c2cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2c1,,7.85,1,7.85,7.85,IC50,B,assay format,other,8,H,1980,
