molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL1201746,CHEMBL1201746,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,PRALATREXATE,10.87,1,10.87,10.87,Ki,B,single protein format,single_protein,9,D,2021,4,477.4810000000002,0.9816000000000005,207.29999999999995,5,9,10,3,3,0.2608695652173913,0.2599396772680938
CHEMBL390990,CHEMBL390990,Nc1nc(N)c2nc(CNc3ccc4c(c3)CN([C@@H](CCC(=O)O)C(=O)O)C4=O)cnc2n1,,10.47,1,10.47,10.47,Ki,B,single protein format,single_protein,9,D,2004,,452.43100000000027,0.47009999999999963,210.53999999999996,5,10,8,4,3,0.25,0.3155418220539303
CHEMBL388501,CHEMBL388501,Nc1nc(N)c2nc(CNc3ccc4c(c3)CN(C(CCC(=O)O)C(=O)O)C4=O)cnc2n1,,10.11,1,10.11,10.11,Ki,B,single protein format,single_protein,9,D,2004,,452.43100000000027,0.47009999999999963,210.53999999999996,5,10,8,4,3,0.25,0.3155418220539303
CHEMBL171765,CHEMBL171765,CCC(CC)n1c(C(C)C)cc2c3c(N)nc(N)nc3ccc21,,10.0,1,10.0,10.0,Ki,B,single protein format,single_protein,8,H,1996,,311.43300000000005,4.233400000000002,82.75,2,4,4,3,3,0.4444444444444444,0.7548557595688679
CHEMBL369258,CHEMBL369258,CCc1cc2c3c(N)nc(N)nc3ccc2n1C(C)(C)C,,10.0,1,10.0,10.0,Ki,B,single protein format,single_protein,8,H,1996,,283.379,3.066300000000001,82.75,2,4,1,3,3,0.375,0.7186690948575517
CHEMBL170760,CHEMBL170760,CCc1cc2c3c(N)nc(N)nc3ccc2n1C(C)CC,,10.0,1,10.0,10.0,Ki,B,single protein format,single_protein,8,H,1996,,283.3790000000001,3.282300000000002,82.75,2,4,3,3,3,0.375,0.772359172927923
CHEMBL443763,CHEMBL443763,Nc1ncc(CCCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(N)n1,,9.92,1,9.92,9.92,Ki,B,single protein format,single_protein,8,H,1996,,401.4230000000001,0.8641000000000001,181.51999999999998,5,7,10,2,2,0.3157894736842105,0.38539615228421037
CHEMBL352960,CHEMBL352960,CCc1cc2c3c(N)nc(N)nc3ccc2n1C(CC)CC,,9.7,1,9.7,9.7,Ki,B,single protein format,single_protein,8,H,1996,,297.40600000000006,3.6724000000000023,82.75,2,4,4,3,3,0.4117647058823529,0.7693038595286389
CHEMBL170837,CHEMBL170837,CC(C)n1c(C(C)(C)C)cc2c3c(N)nc(N)nc3ccc21,,9.7,1,9.7,9.7,Ki,B,single protein format,single_protein,8,H,1996,,297.406,3.627300000000001,82.75,2,4,1,3,3,0.4117647058823529,0.7182109454392139
CHEMBL305177,CHEMBL305177,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1,,9.675,2,8.35,11.0,IC50;Ki,B,cell-based format;single protein format,mixed,8,H,1988;1995,,438.4440000000002,1.4541,193.54999999999995,6,8,9,3,3,0.19047619047619047,0.284568902727206
CHEMBL354249,CHEMBL354249,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)cc1)C(=O)O,,9.54,1,9.54,9.54,Ki,B,single protein format,single_protein,8,H,1999,,456.5030000000002,1.2959000000000014,193.55,6,8,9,3,2,0.4090909090909091,0.3200134943627575
CHEMBL170758,CHEMBL170758,CCC(CC)n1c(C)cc2c3c(N)nc(N)nc3ccc21,,9.52,1,9.52,9.52,Ki,B,single protein format,single_protein,8,H,1996,,283.379,3.418420000000001,82.75,2,4,3,3,3,0.375,0.7711873086535538
