molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL10,CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,SB-203580,6.3100000000000005,2,6.15,6.47,Kd,B,single protein format,single_protein,9,D,2008,
CHEMBL544833,CHEMBL100714,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,,6.46,1,6.46,6.46,IC50,B,single protein format,single_protein,8,H,1997,
CHEMBL101253,CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,VATALANIB,6.34,1,6.34,6.34,IC50,B,single protein format,single_protein,9,D,2007,3
CHEMBL102651,CHEMBL102651,C[C@@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1,,6.38,1,6.38,6.38,IC50,F,cell-based format,cell_based,9,D,2001,
CHEMBL102726,CHEMBL102726,c1ccc(CNc2ncnc3ccccc23)cc1,,6.5,1,6.5,6.5,IC50,B,cell-based format,cell_based,9,D,1995,
CHEMBL103014,CHEMBL103014,C[C@@H](Nc1ncnc2c1sc1ccccc12)c1ccccc1,,6.27,1,6.27,6.27,IC50,F,cell-based format,cell_based,9,D,2001,
CHEMBL103667,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,DORAMAPIMOD,6.7,1,6.7,6.7,Ki,F,assay format,other,8,H,,2
CHEMBL2093928,CHEMBL103864,C[C@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1,,6.84,2,6.38,7.3,IC50,B;F,cell-based format;single protein format,mixed,8;9,D;H,1999;2001,
CHEMBL104153,CHEMBL104153,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,,6.66,1,6.66,6.66,IC50,B,single protein format,single_protein,8,H,1998,
CHEMBL104244,CHEMBL104244,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,,6.68,1,6.68,6.68,IC50,B,single protein format,single_protein,8,H,1998,
CHEMBL104779,CHEMBL104779,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,,6.04,1,6.04,6.04,IC50,B,single protein format,single_protein,8,H,1998,
CHEMBL105053,CHEMBL105053,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1,,8.24,2,8.0,8.48,IC50,B;F,cell-based format;single protein format,mixed,8;9,D;H,2001;2011,
CHEMBL105436,CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,,6.52,1,6.52,6.52,IC50,B,single protein format,single_protein,8,H,2000,
CHEMBL1080812,CHEMBL1080812,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,,6.06,1,6.06,6.06,IC50,B,cell-based format,cell_based,9,D,2009,
CHEMBL1081312,CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,,6.58,1,6.58,6.58,IC50,B,single protein format,single_protein,8,H,2008,
CHEMBL1081849,CHEMBL1081849,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,,6.01,1,6.01,6.01,IC50,B,cell-based format,cell_based,9,D,2009,
CHEMBL1082012,CHEMBL1082012,Cc1c(C(=O)NCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,,6.59,1,6.59,6.59,IC50,B,cell-based format,cell_based,9,D,2009,
CHEMBL1088901,CHEMBL1088901,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,,6.72,1,6.72,6.72,IC50,B,protein format,other,9,D,2010,
CHEMBL1088931,CHEMBL1088931,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,,8.21,1,8.21,8.21,IC50,B,protein format,other,9,D,2010,
CHEMBL1089203,CHEMBL1089203,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,,6.994999999999999,4,6.41,7.85,IC50;Kd,B,assay format;cell-based format;protein format;single protein format,mixed,8;9,D;H,2010;2019,
CHEMBL1089524,CHEMBL1089524,CN(C)CCCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,,8.77,3,6.89,9.3,IC50,B,protein format;single protein format,mixed,8;9,D;H,2010,
