molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL176582,CHEMBL176582,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,,11.0,1,11.0,11.0,IC50,B,cell-based format,cell_based,9,D,1996,,354.211,4.0226000000000015,55.63,1,4,2,4,4,0.0625,0.590736633045332
CHEMBL174426,CHEMBL174426,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,,10.6,1,10.6,10.6,IC50,B,cell-based format,cell_based,9,D,1996,,354.21100000000007,4.022600000000002,55.63,1,4,2,4,4,0.0625,0.5907366330453319
CHEMBL5790648,CHEMBL5790648,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,,10.54,2,10.28,10.8,IC50,B,single protein format,single_protein,8;9,D;H,2021,,443.8660000000003,3.8153000000000032,79.82000000000002,1,7,4,5,3,0.2857142857142857,0.6562395765631853
CHEMBL6054692,CHEMBL6054692,CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,,10.48,2,10.28,10.68,IC50,B,single protein format,single_protein,8;9,D;H,2021,,471.9200000000002,4.595500000000004,79.82000000000001,1,7,6,5,3,0.34782608695652173,0.5625737917677195
CHEMBL3613702,CHEMBL3613702,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,,10.43,1,10.43,10.43,IC50,B,single protein format,single_protein,9,D,2015,,377.2060000000001,4.943800000000001,66.91,2,4,4,3,3,0.0,0.49913822071210107
CHEMBL5746224,CHEMBL5746224,CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,,10.42,2,10.07,10.77,IC50,B,single protein format,single_protein,8;9,D;H,2021,,441.89400000000023,4.586900000000004,70.59,1,6,3,5,3,0.3181818181818182,0.640810719305486
CHEMBL5968640,CHEMBL5968640,CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,,10.41,2,10.16,10.66,IC50,B,single protein format,single_protein,8;9,D;H,2021,,457.89300000000026,4.205400000000003,79.82000000000001,1,7,5,5,3,0.3181818181818182,0.6144559265502137
CHEMBL5997498,CHEMBL5997498,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,,10.35,2,10.0,10.7,IC50,B,single protein format,single_protein,8,H,2021,,471.9200000000004,4.595500000000005,79.82000000000002,1,7,4,5,3,0.34782608695652173,0.5954445269709847
CHEMBL5915655,CHEMBL5915655,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,,10.3,1,10.3,10.3,IC50,B,single protein format,single_protein,8,H,2021,,445.8820000000003,4.061300000000004,79.82000000000002,1,7,6,4,3,0.2857142857142857,0.6123966701575512
CHEMBL5811442,CHEMBL5811442,COc1cc(N2CCC3(CC2)CN(C)C3)c(C)cc1Nc1ncc(Br)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1,,10.28,1,10.28,10.28,IC50,B,single protein format,single_protein,8,H,2022,,649.5740000000001,6.976520000000008,82.62,2,8,7,6,4,0.375,0.2078620822494683
CHEMBL5284924,CHEMBL5284924,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,,10.19,3,8.06,10.28,IC50,B,single protein format,single_protein,9,D,2023,,548.6470000000003,5.358500000000005,84.75000000000001,1,8,7,6,5,0.21875,0.21505524587908204
CHEMBL5193123,CHEMBL5193123,COc1cc(N2CCC(N3CCCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,,10.15,2,10.0,10.3,IC50,B,single protein format,single_protein,9,D,2022,,714.646,5.668820000000005,104.32000000000001,2,11,8,6,3,0.5151515151515151,0.28249077290857527
CHEMBL5874605,CHEMBL5874605,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,,10.15,1,10.15,10.15,IC50,B,single protein format,single_protein,8,H,2021,,506.3650000000004,5.248900000000004,79.82000000000002,1,7,4,5,3,0.34782608695652173,0.4846152652707967
CHEMBL327307,CHEMBL327307,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,,10.14,1,10.14,10.14,IC50,B,cell-based format,cell_based,8,H,1996,,439.10700000000014,4.915600000000003,56.27000000000001,1,5,4,3,3,0.125,0.6262278248292079
CHEMBL5186680,CHEMBL5186680,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,,10.135000000000002,2,10.05,10.22,IC50,B,single protein format,single_protein,9,D,2022,,694.6189999999999,5.449120000000004,111.64,2,11,9,6,4,0.4375,0.21845583767206478
