molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL105076,CHEMBL105076,CC(CNS(=O)(=O)C(C)C)c1ccc(NC(=O)c2ccccc2)cc1,,6.28,1,6.28,6.28,EC50,F,assay format,other,8,H,2010,
CHEMBL1097939,CHEMBL1097939,CC(CNS(=O)(=O)C(C)C)C1CCC(c2ccc(C#N)cc2)CC1,,6.82,1,6.82,6.82,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL120808,CHEMBL120808,Cc1nn(C[C@H](N)C(=O)O)c(=O)[nH]c1=O,,6.43,1,6.43,6.43,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL121191,CHEMBL121191,N[C@@H](Cn1cc([N+](=O)[O-])c(=O)[nH]c1=O)C(=O)O,,6.94,1,6.94,6.94,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL121388,CHEMBL121388,N[C@@H](Cn1cc(Cl)c(=O)[nH]c1=O)C(=O)O,,7.28,1,7.28,7.28,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL1214201,CHEMBL1214201,CC(C)S(=O)(=O)NC[C@H](C)c1ccc(NC(=O)c2cc(F)cc(F)c2)cc1,,6.4,1,6.4,6.4,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1214202,CHEMBL1214202,CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccc(NS(C)(=O)=O)c3)cc2C1,,6.1,1,6.1,6.1,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1214335,CHEMBL1214335,CC(C)S(=O)(=O)NC1Cc2ccc(-c3cccc(CN4CCCS4(=O)=O)c3)cc2C1,,6.4,1,6.4,6.4,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL121553,CHEMBL121553,N[C@@H](Cn1nc(I)c(=O)[nH]c1=O)C(=O)O,,7.0,1,7.0,7.0,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL121915,CHEMBL121915,N[C@@H](Cn1cc(I)c(=O)[nH]c1=O)C(=O)O,,6.75,1,6.75,6.75,Ki,B,cell-based format,cell_based,9,D,1997,
CHEMBL122005,CHEMBL122005,N[C@@H](Cn1ccc(=O)[nH]c1=O)C(=O)O,(S)-WILLARDIINE,6.05,1,6.05,6.05,Ki,B,cell-based format,cell_based,9,D,1997,
