molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL4218628,CHEMBL4218628,O=S1(=O)NCN(C2CC2)c2cc(CCc3ccc4c(c3)N(C3CC3)CNS4(=O)=O)ccc21,,8.875,2,8.85,8.9,EC50,B,cell-based format,cell_based,9,D,2018,,474.60800000000023,1.9082000000000001,98.82,2,6,5,6,2,0.45454545454545453,0.687007511498036
CHEMBL4091984,CHEMBL4091984,COc1cccc(Oc2ccc3c(c2)S(=O)(=O)NCN3C2CC2)c1,,8.7,2,8.7,8.7,EC50,B,cell-based format,cell_based,9,D,2018,,346.40800000000013,2.705700000000001,67.86999999999999,1,5,4,4,2,0.29411764705882354,0.921851305466832
CHEMBL3088070,CHEMBL3139334,O=C(O)[C@@H]1C[C@H]2C[C@@H](Oc3cc(-c4ccc(Cl)cc4)ccc3-c3nnn[nH]3)CC[C@H]2CN1,,8.52,1,8.52,8.52,Ki,B,single protein format,single_protein,9,D,2013,,453.9300000000002,3.797300000000001,113.02000000000001,3,6,5,5,3,0.391304347826087,0.5380767809818996
CHEMBL370038,CHEMBL370038,Cn1nnc(-c2onc(O)c2C[C@H](N)C(=O)O)n1,,8.41,1,8.41,8.41,Ki,B,cell-based format,cell_based,8,H,2005,,254.206,-1.4748999999999999,153.18,3,8,4,2,2,0.375,0.5923501237002936
CHEMBL4202524,CHEMBL4202524,CN1CNS(=O)(=O)c2ccc(CCc3ccc4c(c3)N(C)CNS4(=O)=O)cc21,,7.855,2,7.84,7.87,EC50,B,cell-based format,cell_based,9,D,2018,,422.53200000000015,0.843,98.82,2,6,3,4,2,0.3333333333333333,0.7607770406036733
CHEMBL331696,CHEMBL331696,N[C@@H](Cn1nc(Cl)c(=O)[nH]c1=O)C(=O)O,,7.78,1,7.78,7.78,Ki,B,cell-based format,cell_based,9,D,1997,,234.599,-2.0031,131.07,3,5,3,1,1,0.3333333333333333,0.5541533471631275
CHEMBL13378,CHEMBL13378,Cc1onc(O)c1CC(N)C(=O)O,"(R,S)-AMPA",7.77,1,7.77,7.77,Ki,B,cell-based format,cell_based,8,H,2003,,186.16699999999997,-0.35698000000000013,109.58,3,5,3,1,1,0.42857142857142855,0.594375015416418
CHEMBL331644,CHEMBL331644,N[C@@H](Cn1nc(Br)c(=O)[nH]c1=O)C(=O)O,,7.71,1,7.71,7.71,Ki,B,cell-based format,cell_based,9,D,1997,,279.05,-1.8940000000000001,131.07,3,5,3,1,1,0.3333333333333333,0.5922443090676653
CHEMBL276815,CHEMBL276815,Cc1onc(O)c1C[C@H](N)C(=O)O,(S)-AMPA,7.375,2,6.97,7.78,Ki,B,cell-based format,cell_based,8;9,D;H,1997;2005,,186.16699999999997,-0.35698000000000013,109.58,3,5,3,1,1,0.42857142857142855,0.594375015416418
CHEMBL215090,CHEMBL215090,CCc1c(C#N)c(-c2ccc(-c3ccccc3SC)cc2)c(C(=O)O)n1C,,7.37,2,7.24,7.5,EC50,F,cell-based format,cell_based,9,D,2006,,376.4810000000001,5.213280000000005,66.02000000000001,1,3,5,3,3,0.18181818181818182,0.6205921834685166
CHEMBL384402,CHEMBL384402,CCc1c(C#N)c(-c2ccc(-c3ccccc3Cl)cc2)c(C(=O)O)n1C,,7.32,2,7.26,7.38,EC50,F,cell-based format,cell_based,9,D,2006,,364.8320000000001,5.144780000000004,66.02000000000001,1,2,4,3,3,0.14285714285714285,0.6961452611672437
CHEMBL4062524,CHEMBL4062524,Cc1cccc(Oc2ccc3c(c2)S(=O)(=O)NCN3C2CC2)c1,,7.32,2,7.3,7.34,EC50,B,cell-based format,cell_based,9,D,2018,,330.40900000000016,3.0055200000000015,58.64000000000001,1,4,3,4,2,0.29411764705882354,0.9397389219119233
CHEMBL121388,CHEMBL121388,N[C@@H](Cn1cc(Cl)c(=O)[nH]c1=O)C(=O)O,,7.28,1,7.28,7.28,Ki,B,cell-based format,cell_based,9,D,1997,,233.611,-1.3981000000000006,118.17999999999999,3,4,3,1,1,0.2857142857142857,0.5935192937210876
CHEMBL384271,CHEMBL384271,CCOc1ccccc1-c1ccc(-c2c(C#N)c(CC)n(C)c2C(=O)O)cc1,,7.26,2,7.08,7.44,EC50,F,cell-based format,cell_based,9,D,2006,,374.44000000000005,4.890080000000005,75.25,1,3,6,3,3,0.21739130434782608,0.6664275273474958
CHEMBL384847,CHEMBL384847,CCc1c(C#N)c(-c2ccc(-c3ccccc3C#N)cc2)c(C(=O)O)n1C,,7.115,2,7.09,7.14,EC50,F,cell-based format,cell_based,9,D,2006,,355.3970000000001,4.363060000000004,89.81,1,3,4,3,3,0.13636363636363635,0.7525661991767232
CHEMBL370941,CHEMBL370941,CCn1nnc(-c2onc(O)c2CC(N)C(=O)O)n1,,7.1,1,7.1,7.1,Ki,B,cell-based format,cell_based,8,H,2005,,268.23299999999995,-0.9919999999999998,153.18,3,8,5,2,2,0.4444444444444444,0.6193869605800458
CHEMBL3800556,CHEMBL3800556,Cc1sc2nc(Cn3nc(C(F)(F)F)cc3Cl)cc(=O)n2c1[C@@H]1C[C@H]1CO,,7.07,2,6.82,7.32,EC50,B,cell-based format,cell_based,9,D,2016,,418.82800000000015,3.077220000000002,72.42,1,5,4,4,3,0.4375,0.7064147899620341
