molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL101311,CHEMBL101311,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,,6.9,1,6.9,6.9,Ki,F,assay format,other,8,H,,
CHEMBL1076221,CHEMBL1076221,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccc(Cl)cc21,,6.3,1,6.3,6.3,IC50,B,single protein format,single_protein,9,D,2009,
CHEMBL1076700,CHEMBL1076700,Cc1cc(Nc2nc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3o2)ccc1C(=O)NCCCN(C)C,,8.3,1,8.3,8.3,IC50,B,single protein format,single_protein,8,H,2010,
CHEMBL1077431,CHEMBL1077431,Cc1cc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc(C)c1O,,7.06,1,7.06,7.06,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1077458,CHEMBL1077458,CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,,6.635,4,6.01,8.44,IC50,B,cell-based format;single protein format,mixed,8;9,D;H,2009;2012,
CHEMBL1077575,CHEMBL1077575,N#CCC(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,6.52,1,6.52,6.52,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1077841,CHEMBL1077841,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCSCC4)cc3)n2)cc1,,7.16,1,7.16,7.16,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1077842,CHEMBL1077842,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2)cc1,,7.28,1,7.28,7.28,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1078005,CHEMBL1078005,Cc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1-c1ccc(C(=O)NCC#N)cc1,,8.1,1,8.1,8.1,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1078159,CHEMBL1078159,N#CCNC(=O)c1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,6.26,1,6.26,6.26,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1078165,CHEMBL1078165,N#CCNCc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,6.88,1,6.88,6.88,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1078166,CHEMBL1078166,N#CCC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,,8.0,1,8.0,8.0,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1078178,CHEMBL1078178,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,MOMELOTINIB,7.785,8,7.07,8.35,IC50;Kd,B,assay format;cell-based format;single protein format,mixed,8;9,D;H,2009;2018;2022;2024,4
CHEMBL1078228,CHEMBL1078228,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)c(F)c3)n2)cc1,,6.94,1,6.94,6.94,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1078229,CHEMBL1078229,N#CCNC(=O)c1ccc(-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)cc1,,6.95,1,6.95,6.95,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1078274,CHEMBL1078274,COc1cc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)ccc1O,,8.52,1,8.52,8.52,IC50,B,single protein format,single_protein,8,H,2009,
CHEMBL1078275,CHEMBL1078275,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3cccc(CN4CCCC4)c3)n2)cc1,,8.22,1,8.22,8.22,IC50,B,single protein format,single_protein,8,H,2009,
