molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL3665128,CHEMBL3665128,CS(=O)(=O)N1CC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,,10.97,1,10.97,10.97,IC50,B,single protein format,single_protein,9,D,2013,,358.42700000000013,1.4656999999999996,103.86999999999999,2,6,4,4,3,0.3125,0.7317831524233765
CHEMBL3665130,CHEMBL3665130,COC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,,10.97,1,10.97,10.97,IC50,B,single protein format,single_protein,9,D,2013,,366.4250000000001,3.0527000000000006,96.02999999999999,2,6,3,4,3,0.3684210526315789,0.7395456053267602
CHEMBL5776613,CHEMBL5776613,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)[C@H](C(=O)N3CC(C)(N(C)C)C3)C4)n[nH]c2c1,,10.89,1,10.89,10.89,Ki,B,single protein format,single_protein,9,D,2021,,545.6630000000004,3.936200000000002,104.38,3,6,6,6,4,0.43333333333333335,0.3392179799921016
CHEMBL5997591,CHEMBL5997591,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)[C@H](C(=O)N3CC(C)(N(C)C)C3)C4)n[nH]c2c1,,10.89,1,10.89,10.89,Ki,B,single protein format,single_protein,9,D,2021,,559.6900000000003,4.3247000000000035,104.38,3,6,6,6,4,0.45161290322580644,0.3250789878643111
CHEMBL6036273,CHEMBL6036273,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)[C@H](C(=O)N3CC(N(C)C)C3)C4)n[nH]c2c1,,10.89,1,10.89,10.89,Ki,B,single protein format,single_protein,9,D,2021,,531.6360000000003,3.546100000000001,104.38,3,6,6,6,4,0.41379310344827586,0.35167389996676773
CHEMBL5905186,CHEMBL5905186,CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2C[C@H]1C(=O)N1CC(N(C)C)C1,,10.8,1,10.8,10.8,Ki,B,single protein format,single_protein,9,D,2021,,545.6630000000002,3.936200000000002,104.38,3,6,7,6,4,0.43333333333333335,0.3251361294017005
CHEMBL5813467,CHEMBL5813467,CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)[C@H](C(=O)N3CC(C)(N(C)C)C3)C4)n[nH]c2c1,,10.8,1,10.8,10.8,Ki,B,single protein format,single_protein,9,D,2020,,541.7000000000004,4.185600000000003,104.38,3,6,6,6,4,0.45161290322580644,0.3383095850622929
CHEMBL3652404,CHEMBL3652404,C[C@H]1CN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C[C@@H]1CO,,10.78,1,10.78,10.78,IC50,B,single protein format,single_protein,9,D,2014,,421.5670000000002,1.8428999999999998,102.42,2,6,6,4,2,0.7,0.7378942806524966
CHEMBL3665202,CHEMBL3665202,CN1CCN(c2ncc(-c3cnc4[nH]ccc4n3)c(N[C@H]3CCCN(S(=O)(=O)CCC(C)(C)C)C3)n2)CC1,,10.76,1,10.76,10.76,IC50,B,single protein format,single_protein,9,D,2013,,541.7260000000002,2.809,123.24,2,9,7,5,3,0.6153846153846154,0.4646850926141104
CHEMBL5979950,CHEMBL5979950,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)[C@H](C(=O)N3CC(N(C)C)C3)C4)n[nH]c2c1,,10.75,2,10.7,10.8,Ki,B,single protein format,single_protein,9,D,2019;2020,,545.6630000000002,3.9346000000000023,104.38,3,6,6,6,4,0.43333333333333335,0.33923604082306025
CHEMBL5956972,CHEMBL5956972,CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2C[C@H]1C(=O)N1C[C@@H]2C[C@H]1CN2C,,10.75,2,10.7,10.8,Ki,B,single protein format,single_protein,9,D,2019;2020,,557.6740000000002,4.078700000000002,104.38,3,6,6,7,4,0.45161290322580644,0.33018633170091843
CHEMBL3665129,CHEMBL3665129,CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,,10.72,1,10.72,10.72,IC50,B,single protein format,single_protein,9,D,2013,,350.4260000000001,2.8328000000000007,86.8,2,5,3,4,3,0.3684210526315789,0.7583921399947744
CHEMBL3665180,CHEMBL3665180,CC(C)CS(=O)(=O)N1CCC[C@H](Nc2nc(N)ncc2-c2cnc3[nH]ccc3n2)C1,,10.71,1,10.71,10.71,IC50,B,single protein format,single_protein,9,D,2013,,430.5380000000001,1.8591999999999997,142.78000000000003,3,8,6,4,3,0.47368421052631576,0.5376207395389894
CHEMBL3652402,CHEMBL3652402,C[C@@H]1C[C@@H](CS(=O)(=O)N2CC[C@H](CO)C2)CC[C@@H]1N(C)c1ncnc2[nH]ccc12,,10.7,1,10.7,10.7,IC50,B,single protein format,single_protein,9,D,2014,,421.5670000000001,1.8428999999999995,102.42000000000002,2,6,6,4,2,0.7,0.7378942806524966
