molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL1077204,CHEMBL1077204,CN(C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,,8.1,1,8.1,8.1,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1077227,CHEMBL1077227,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1cccs1,,8.3,1,8.3,8.3,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1077337,CHEMBL1077337,Fc1c(Cl)ccc2c1N[C@@H](c1ccccc1)[C@@H]1CCCO[C@H]21,,6.27,1,6.27,6.27,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1077357,CHEMBL1077357,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccc(F)c1)N2,,6.46,1,6.46,6.46,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1078572,CHEMBL1078572,Fc1cc(C(F)(F)F)cc2c1N[C@@H](c1ccccc1)[C@@H]1CCCO[C@H]21,,7.05,1,7.05,7.05,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1078690,CHEMBL1078690,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccc(O)c1)N2,,7.4,1,7.4,7.4,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1078691,CHEMBL1078691,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)cc1)N2,,7.47,1,7.47,7.47,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1078692,CHEMBL1078692,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)c(O)c1)N2,,7.02,1,7.02,7.02,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1078774,CHEMBL1078774,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)c(F)c1)N2,,7.77,1,7.77,7.77,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1078893,CHEMBL1078893,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1F)N2,,6.77,1,6.77,6.77,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1078894,CHEMBL1078894,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(F)cc1)N2,,6.57,1,6.57,6.57,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1078998,CHEMBL1078998,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccs1)N2,,7.6,1,7.6,7.6,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1082248,CHEMBL1082248,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,,8.52,1,8.52,8.52,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1082249,CHEMBL1082249,CC(=O)NCCNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,,8.22,1,8.22,8.22,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1083517,CHEMBL1083517,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1,,8.4,1,8.4,8.4,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1083521,CHEMBL1083521,N#CCc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,,6.3,1,6.3,6.3,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1083836,CHEMBL1083836,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,,7.96,1,7.96,7.96,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1084115,CHEMBL1084115,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccsc1)N2,,6.92,1,6.92,6.92,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1084116,CHEMBL1084116,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(Cl)s1)N2,,6.52,1,6.52,6.52,IC50,B,single protein format,single_protein,9,D,2010,
CHEMBL1084143,CHEMBL1084143,CC(C)c1ccc2c(c1)[C@H]1O[C@@H](CNS(=O)(=O)CCCN(C)C)CC[C@H]1[C@H](c1ccccc1)N2,,8.7,1,8.7,8.7,IC50,B,single protein format,single_protein,9,D,2010,
