molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL4239814,CHEMBL4239814,CC(=O)C1=NN(c2cc(C)ccc2F)C[C@]1(CCCN(C)C)c1ccccc1,,9.7,1,9.7,9.7,IC50,B,single protein format,single_protein,9,D,2018,,381.49500000000006,4.178920000000003,35.910000000000004,0,4,7,3,2,0.391304347826087,0.7218534624235522
CHEMBL5778625,CHEMBL5778625,CC(C)(C)[C@H](c1cc(-c2cc(F)ccc2F)cn1Cc1ccccc1)N(CC[C@H](N)C(=O)NCCOCCN1C(=O)CC(SC[C@H](N)C(=O)O)C1=O)C(=O)CO,,9.57,1,9.57,9.57,IC50,B,single protein format,single_protein,9,D,2021,,800.926,2.512500000000004,210.51999999999995,5,10,20,4,3,0.46153846153846156,0.08284461807222361
CHEMBL398478,CHEMBL398478,CC(=O)C1=NN2c3cc(F)ccc3OC[C@H]2[C@@]1(CCCN1CCOCC1)c1ccccc1,,9.4,1,9.4,9.4,IC50,B,single protein format,single_protein,8,H,2007,,437.51500000000027,3.4021000000000026,54.370000000000005,0,6,6,5,2,0.44,0.693463860556759
CHEMBL5951006,CHEMBL5951006,CC(C)(C)[C@H](c1cc(-c2cc(F)ccc2F)cn1Cc1ccccc1)N(CCCN)C(=O)CSC[C@H](NC(=O)CCC(=O)O)C(=O)O,,9.35,1,9.35,9.35,IC50,B,single protein format,single_protein,9,D,2021,,672.7950000000003,4.913600000000003,154.96,4,6,17,3,3,0.4117647058823529,0.15772930016168096
CHEMBL5842292,CHEMBL5842292,CC(C)(C)[C@H](c1cc(-c2cc(F)ccc2F)cn1Cc1ccccc1)N(CC[C@H](N)C(=O)NCCOCCNC(=O)CC(SC[C@H](N)C(=O)O)C(=O)O)C(=O)CO,,9.34,1,9.34,9.34,IC50,B,single protein format,single_protein,9,D,2021,,818.9410000000001,2.344500000000005,239.53999999999996,7,10,23,3,3,0.46153846153846156,0.06831815303060576
CHEMBL5827710,CHEMBL5827710,CC(C)(C)[C@H](c1cc(-c2cc(F)ccc2F)cn1Cc1ccccc1)N(CCCN)C(=O)CSC[C@H](NC(=O)CCOCCOCCOCCOCCNC(=O)CCNC(=O)CC(SC[C@H](N)C(=O)O)C(=O)O)C(=O)O,,9.33,1,9.33,9.33,IC50,B,single protein format,single_protein,9,D,2021,,1110.3099999999995,3.1162000000000107,313.4,8,15,39,3,3,0.5490196078431373,0.03806495000506097
CHEMBL206115,CHEMBL206115,N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1)C1CC1,,9.3,1,9.3,9.3,IC50,B,single protein format,single_protein,9,D,2006,,370.3990000000001,3.374600000000002,66.56,2,3,4,4,2,0.2857142857142857,0.8671717824512296
CHEMBL250127,CHEMBL250127,CC(=O)C1=NN2c3cc(F)ccc3OC[C@H]2[C@@]1(CCCN)c1ccccc1,,9.3,1,9.3,9.3,IC50,B,single protein format,single_protein,8,H,2007,,367.4240000000001,3.028600000000001,67.92,1,5,5,4,2,0.3333333333333333,0.8820521501833773
CHEMBL3645244,CHEMBL3645244,C[C@H](O)C(=O)N(C[C@@H]1CNC[C@@H]1F)[C@@H](c1nc(-c2cc(F)ccc2F)nn1Cc1ccccc1)C(C)(C)C,,9.22,1,9.22,9.22,IC50,B,single protein format,single_protein,9,D,2013,,529.6070000000001,4.125700000000004,83.28,2,5,8,4,3,0.4642857142857143,0.45877125614904846
CHEMBL5745316,CHEMBL5745316,CC(C)(C)[C@H](c1cc(-c2cc(F)ccc2F)cn1Cc1ccccc1)N(CC[C@H](N)C(=O)NCCNC(=O)CSC[C@H](N)C(=O)O)C(=O)CO,,9.21,1,9.21,9.21,IC50,B,single protein format,single_protein,9,D,2021,,716.8520000000001,2.4846000000000035,193.00999999999996,6,8,18,3,3,0.42857142857142855,0.10738373016509553
