molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL105765,CHEMBL105765,O=C(CCCCCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,6.6,1,6.6,6.6,IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL105925,CHEMBL105925,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccccc1,,6.35,1,6.35,6.35,IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL105995,CHEMBL105995,CN1CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,,7.35,1,7.35,7.35,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL106154,CHEMBL106154,Nc1cnc2c(c1)[nH]c(=O)c1ccccc12,,6.75,1,6.75,6.75,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL106298,CHEMBL106298,C[N+]1([O-])CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,,6.61,1,6.61,6.61,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL106734,CHEMBL106734,Nc1ccc2nc(O)c3ccccc3c2n1,,6.68,1,6.68,6.68,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL107260,CHEMBL107260,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,6.785,2,6.52,7.05,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL107601,CHEMBL107601,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,,7.35,2,7.0,7.7,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL107616,CHEMBL107616,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(-c2ccccc2)c1,,7.16,1,7.16,7.16,IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL107709,CHEMBL107709,Oc1nc2ccc(NCCN3CCOCC3)nc2c2ccccc12,,6.47,1,6.47,6.47,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL107764,CHEMBL107764,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnc2)cc1,,7.3100000000000005,2,6.7,7.92,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL107935,CHEMBL107935,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Oc2ccccc2)cc1,,6.91,2,6.3,7.52,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL108106,CHEMBL108106,CCN(CC)CCNc1ccc2nc(O)c3ccccc3c2n1,,6.76,1,6.76,6.76,IC50,B,single protein format,single_protein,8,H,2003,
CHEMBL108137,CHEMBL108137,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cncnc2)cc1,,7.0,2,6.4,7.6,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL108239,CHEMBL108239,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cccnn2)CC1,,7.050000000000001,2,6.4,7.7,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL108316,CHEMBL108316,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncncn2)CC1,,6.76,2,6.22,7.3,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL108339,CHEMBL108339,COc1ccc(N2CCN(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)CC2)cc1,,7.38,4,6.1,7.7,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL108341,CHEMBL108341,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccccc2)cc1,,7.0,2,6.3,7.7,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL108623,CHEMBL108623,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cc(C(F)(F)F)ccn2)CC1,,7.35,2,7.0,7.7,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL1086580,CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,,7.025,8,6.21,8.66,IC50;Kd,B,assay format;single protein format,mixed,8;9,D;H,2010;2013;2017;2021,
CHEMBL108702,CHEMBL108702,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,,7.43,2,7.16,7.7,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL108840,CHEMBL108840,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnn2)cc1,,7.38,2,7.16,7.6,EC50;IC50,B,single protein format,single_protein,8,H,2002,
CHEMBL1088787,CHEMBL1088787,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCN4)cc3F)nc12,,8.85,2,8.7,9.0,EC50;Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1088788,CHEMBL1088788,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc12,,8.76,2,8.52,9.0,EC50;Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1089101,CHEMBL1089101,NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCCN4)cc3F)nc12,,8.22,2,8.22,8.22,EC50;Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1089124,CHEMBL1089124,NC(=O)c1cccc2[nH]c(-c3ccc([C@H]4CCCCN4)cc3F)nc12,,8.285,2,8.05,8.52,EC50;Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1089125,CHEMBL1089125,NC(=O)c1cccc2nc(-c3ccc([C@@H]4CCCCN4)cc3F)[nH]c12,,8.22,2,8.22,8.22,EC50;Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
CHEMBL1089132,CHEMBL1089132,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCCN4)cc3F)nc12,,8.7,2,8.7,8.7,EC50;Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2010,
