molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL5401127,CHEMBL5401127,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2-c2ccc(CN3CCSCC3)o2)C1,,10.7,1,10.7,10.7,IC50,B,single protein format,single_protein,9,D,2023,,585.6650000000002,3.7093000000000025,113.15,1,8,6,7,5,0.3,0.32106716275611497
CHEMBL4169012,CHEMBL4169012,N#Cc1ccccc1N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)cc(F)c2F)CC1,,10.7,1,10.7,10.7,IC50,B,single protein format,single_protein,9,D,2017,,485.49400000000014,3.6261800000000024,93.09,1,5,4,5,4,0.18518518518518517,0.4766801898251279
CHEMBL5575335,CHEMBL5575335,NC(=O)c1cccc2[nH]c(-c3ccc(NCc4ccc(C(=O)Nc5ccccc5N)cc4)cc3)nc12,,10.66,1,10.66,10.66,IC50,B,single protein format,single_protein,9,D,2024,,476.5400000000002,4.775400000000002,138.92,5,5,7,5,5,0.03571428571428571,0.21527281463449832
CHEMBL5396891,CHEMBL5396891,NC(=O)c1cccc2[nH]c(-c3ccc(C(=O)N4CCN(C(=O)c5ccc(Br)o5)CC4)cc3)nc12,,10.64,1,10.64,10.64,IC50,B,single protein format,single_protein,9,D,2023,,522.3590000000002,3.2825000000000015,125.53,2,5,4,5,4,0.16666666666666666,0.4257252017618822
CHEMBL3889630,CHEMBL3889630,CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1,,10.0,2,10.0,10.0,Ki,B,single protein format,single_protein,8,H,2016,,412.4650000000003,1.6828999999999992,86.37,1,4,3,4,2,0.45454545454545453,0.8312366073410937
CHEMBL4170665,CHEMBL4170665,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccn2)CC1,,10.0,1,10.0,10.0,IC50,B,single protein format,single_protein,9,D,2017,,461.47200000000026,3.1495000000000015,82.19,1,5,4,5,4,0.2,0.5050539285239761
CHEMBL5562332,CHEMBL5562332,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(N5CCN(C(=O)c6cc(Cc7n[nH]c(=O)c8ccccc78)ccc6F)CC5)ccc34)n2)cn1,,9.92,1,9.92,9.92,IC50,B,single protein format,single_protein,9,D,2024,,711.758,4.199800000000003,144.13,1,9,9,8,7,0.20512820512820512,0.23311637613561695
CHEMBL5425729,CHEMBL5425729,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2-c2ccc(CN3CCCCC3)o2)C1,,9.77,1,9.77,9.77,IC50,B,single protein format,single_protein,9,D,2023,,567.6250000000002,4.146400000000003,113.15,1,7,6,7,5,0.3225806451612903,0.328084867224661
CHEMBL5403789,CHEMBL5403789,O=C(c1cc(Cc2n[nH]c(=O)c3cccc(O)c23)ccc1F)N1CCN(C(=O)C2CC2)CC1,,9.76,1,9.76,9.76,IC50,B,cell-based format,cell_based,9,D,2023,,450.47000000000037,2.053,106.6,2,5,4,5,3,0.3333333333333333,0.6329141778009467
CHEMBL4845834,CHEMBL4845834,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc3ccccc3[nH]2)CC1,,9.72,1,9.72,9.72,IC50,B,single protein format,single_protein,9,D,2021,,482.5190000000003,3.4917000000000016,97.97999999999999,2,5,4,6,5,0.18518518518518517,0.4087501309112109
