molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL101123,CHEMBL101123,CC(C)(Oc1cccc(CCCN(C(=O)c2ccc(C(F)(F)F)c(C(F)(F)F)c2)c2cccc(-c3ncon3)c2C2CC2)c1)C(=O)O,,7.23,1,7.23,7.23,EC50,F,cell-based format,cell_based,9,D,2001,
CHEMBL102004,CHEMBL102004,CC(C)(Oc1cccc(CCCN(Cc2ccc(C(F)(F)F)cc2C(F)(F)F)C(=O)Cc2ccc(C(F)(F)F)cc2)c1)C(=O)O,,6.21,1,6.21,6.21,EC50,F,cell-based format,cell_based,9,D,2001,
CHEMBL104850,CHEMBL104850,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@H](C(=O)O)n2cccc2)cc1,,6.17,3,6.16,6.25,EC50;IC50;Ki,B;F,cell-based format;single protein format,mixed,8;9,D;H,2001;2008,
CHEMBL106256,CHEMBL106256,CCCc1c(O)c(C(=O)CC)cc(Cl)c1OC(C(=O)O)c1ccccc1,,6.3100000000000005,2,6.09,6.53,Ki,B,single protein format,single_protein,8,H,2003,
CHEMBL107367,CHEMBL107367,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,FARGLITAZAR,6.46,5,6.31,6.91,EC50;Ki,B;F,cell-based format;single protein format,mixed,8;9,D;H,1998;2006;2007;2017,2
CHEMBL1075683,CHEMBL1075683,Cc1cc(OCc2nc(-c3ccc(OC4CCCC4)cc3)c(-c3ccc(OC(F)(F)F)cc3)o2)ccc1OCC(=O)O,,6.04,1,6.04,6.04,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1075723,CHEMBL1075723,Cc1cc(OCc2nc(-c3ccc(C(=O)N(C)C(C)C)cc3)c(-c3ccc(OC(F)(F)F)cc3)s2)ccc1OCC(=O)O,,6.16,1,6.16,6.16,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1075732,CHEMBL1075732,Cc1cc(OCc2nc(-c3ccc(C(=O)N(C)C(C)C)cc3)c(-c3ccc(OC(F)(F)F)cc3)o2)ccc1OCC(=O)O,,6.16,1,6.16,6.16,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1075895,CHEMBL1075895,Cc1cc(OCc2nc(-c3cnc(N4CCOCC4)nc3)c(-c3ccc(OC(F)(F)F)cc3)o2)ccc1OCC(=O)O,,6.39,1,6.39,6.39,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL107789,CHEMBL107789,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,,6.8,5,6.13,7.22,EC50,B;F,assay format;cell-based format;single protein format,mixed,8;9,D;H,2002;2003,
CHEMBL1079489,CHEMBL1079489,Cc1cc(OCc2nc(-c3ccc(-c4ccccc4)cc3)cs2)ccc1OCC(=O)O,,6.32,1,6.32,6.32,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1079961,CHEMBL1079961,COc1ccc(-c2nc(SCCCCOc3ccc(OCC(=O)O)cc3Cl)sc2-c2ccc(OC)cc2)cc1,,6.1,1,6.1,6.1,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1079962,CHEMBL1079962,COc1ccc(-c2nc(SCCCOc3ccc(OCC(=O)O)cc3Cl)sc2-c2ccc(OC)cc2)cc1,,6.08,1,6.08,6.08,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080361,CHEMBL1080361,COc1ccc(-c2nc(Sc3cccc(C(C)C(=O)O)c3)sc2-c2ccc(OC)cc2)cc1,,6.52,1,6.52,6.52,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080365,CHEMBL1080365,Cc1cc(OCc2nc(-c3cnc(OC(C)C)nc3)c(-c3ccc(OC(F)(F)F)cc3)o2)ccc1OCC(=O)O,,6.8,1,6.8,6.8,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080470,CHEMBL1080470,CCCCOc1ccc(-c2cccc(C(=O)O)c2)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,,6.1,1,6.1,6.1,EC50,F,cell-based format,cell_based,8,H,2009,
CHEMBL1080699,CHEMBL1080699,Cc1cc(OCc2nc(-c3ccc(OC(C)C)nc3)c(-c3ccc(OC(F)(F)F)cc3)o2)ccc1OCC(=O)O,,6.1,1,6.1,6.1,EC50,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081354,CHEMBL1081354,CCCCOc1ccc(-c2cccc(C(=O)O)c2C)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,,6.89,1,6.89,6.89,EC50,F,cell-based format,cell_based,8,H,2009,
CHEMBL1081355,CHEMBL1081355,CCCCOc1ccc(-c2ccc(C)c(C(=O)O)c2)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,,6.92,1,6.92,6.92,EC50,F,cell-based format,cell_based,8,H,2009,
CHEMBL1082079,CHEMBL1082079,CCCCOc1ccc(-c2ccc(C(=O)O)cc2C)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,,8.0,1,8.0,8.0,IC50,F,assay format,other,8,H,2009,
CHEMBL1083110,CHEMBL1083110,COc1ccc(CN(CC(=O)Nc2ccc(C)cc2C)Cc2ccc(OC(C)(C)C(=O)O)cc2)cc1,,6.05,1,6.05,6.05,EC50,F,assay format,other,9,D,2010,
CHEMBL1084320,CHEMBL1084320,Cc1ccc(C)c(NC(=O)CN(Cc2ccc(OC(C)(C)C(=O)O)cc2)Cc2ccco2)c1,,6.22,1,6.22,6.22,EC50,F,assay format,other,9,D,2010,
CHEMBL1084321,CHEMBL1084321,COc1ccc(OC)c(NC(=O)CN(Cc2ccc(OC(C)(C)C(=O)O)cc2)Cc2ccco2)c1,,6.52,1,6.52,6.52,EC50,F,assay format,other,9,D,2010,
CHEMBL1085062,CHEMBL1085062,Cc1ccc(NC(=O)CN(Cc2ccc(OC(C)(C)C(=O)O)cc2)Cc2cccs2)c(C)c1,,6.16,1,6.16,6.16,EC50,F,assay format,other,9,D,2010,
CHEMBL1085795,CHEMBL1085795,Cc1ccc(NC(=O)CN(Cc2ccc(OC(C)(C)C(=O)O)cc2)Cc2ccco2)c(C)c1,,7.7,1,7.7,7.7,EC50,F,assay format,other,9,D,2010,
CHEMBL1085796,CHEMBL1085796,Cc1ccc(NC(=O)CN(Cc2ccccc2)Cc2ccc(OC(C)(C)C(=O)O)cc2)c(C)c1,,6.0,1,6.0,6.0,EC50,F,assay format,other,9,D,2010,
CHEMBL1086515,CHEMBL1086515,CCCN(CC(=O)Nc1ccc(C)cc1C)Cc1ccc(OC(C)(C)C(=O)O)cc1,,6.0,1,6.0,6.0,EC50,F,assay format,other,9,D,2010,
CHEMBL1086861,CHEMBL1086861,CCCCOc1ccc(-c2cc(C(=O)O)ccc2C)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,,6.24,1,6.24,6.24,EC50,F,cell-based format,cell_based,8,H,2009,
CHEMBL1087466,CHEMBL1087466,COC(=O)N(CC(=O)O)Cc1cccc(OCc2coc(-c3ccc(F)c(Cl)c3)n2)c1,,6.4,1,6.4,6.4,EC50,F,cell-based format,cell_based,9,D,2010,
CHEMBL1087467,CHEMBL1087467,COC(=O)N(CC(=O)O)[C@@H](C)c1cccc(OCc2coc(-c3ccc(Cl)cc3)n2)c1,,7.14,1,7.14,7.14,EC50,F,cell-based format,cell_based,9,D,2010,
CHEMBL1087471,CHEMBL1087471,COC(=O)N(CC(=O)O)Cc1cccc(OCc2csc(-c3ccc(Cl)cc3)n2)c1,,7.05,1,7.05,7.05,EC50,F,cell-based format,cell_based,9,D,2010,
CHEMBL1087580,CHEMBL1087580,COC(=O)N(CC(=O)O)Cc1cccc(OCc2coc(-c3ccc(F)cc3)n2)c1,,6.63,1,6.63,6.63,EC50,F,cell-based format,cell_based,9,D,2010,
CHEMBL1087582,CHEMBL1087582,COC(=O)N(CC(=O)O)Cc1cccc(OCc2coc(-c3cccc(C)c3)n2)c1,,6.35,1,6.35,6.35,EC50,F,cell-based format,cell_based,9,D,2010,
