molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL1813003,CHEMBL1813003,CCO[C@@H](Cc1ccc(OCc2nc(-c3cccs3)oc2C)cc1)C(=O)O,,10.59,1,10.59,10.59,EC50,B,cell-based format,cell_based,9,D,2011,,387.4570000000001,4.322720000000003,81.79,1,6,9,3,3,0.3,0.5886980182787337
CHEMBL468160,CHEMBL468160,Cc1ccc(-c2nc(CCOc3ccc(C[C@H]4CO[C@@](C)(C(=O)O)OC4)cc3)c(C)o2)s1,,10.52,1,10.52,10.52,EC50,F,cell-based format,cell_based,8,H,2008,,457.54800000000023,4.647740000000004,91.02000000000001,1,7,8,4,3,0.4166666666666667,0.5265010894033704
CHEMBL481551,CHEMBL481551,Cc1ccc(-c2nc(COc3ccc(C[C@H]4CO[C@@](C)(C(=O)O)OC4)cc3)c(C)o2)cc1,,10.14,1,10.14,10.14,EC50,F,cell-based format,cell_based,8,H,2008,,437.4920000000002,4.543740000000004,91.02000000000001,1,6,7,4,3,0.36,0.5800123102137884
CHEMBL513145,CHEMBL513145,Cc1ccc(-c2nc(CCOc3ccc(C[C@H]4CO[C@@](C)(C(=O)O)OC4)cc3)c(C)o2)cc1,,10.05,1,10.05,10.05,EC50,F,cell-based format,cell_based,8,H,2008,,451.51900000000023,4.586240000000004,91.02000000000001,1,6,8,4,3,0.38461538461538464,0.5357097273131414
CHEMBL1813008,CHEMBL1813008,CCO[C@@H](Cc1ccc(OCCc2nc(-c3cccs3)oc2C)cc1)C(=O)O,,10.0,1,10.0,10.0,EC50,B,cell-based format,cell_based,9,D,2011,,401.4840000000001,4.3652200000000025,81.79,1,6,10,3,3,0.3333333333333333,0.5433681443472221
CHEMBL3354987,CHEMBL3354987,Cc1c(C(=O)O)cccc1-c1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)o1,,9.8,1,9.8,9.8,EC50,B,cell-based format,cell_based,9,D,2015,,480.4730000000002,4.767320000000003,116.92,2,6,6,4,3,0.08333333333333333,0.48834341378863955
CHEMBL467349,CHEMBL467349,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H]2CO[C@@](C)(C(=O)O)OC2)cc1,,9.56,1,9.56,9.56,EC50,F,cell-based format,cell_based,8,H,2008,,437.49200000000025,4.277820000000003,91.02000000000001,1,6,8,4,3,0.36,0.5624322900947524
CHEMBL2088421,CHEMBL2088421,COc1ccc(NC(=O)N(CCCCC2CCCCC2)CCc2ccc(SC(C)(C)C(=O)O)cc2)cc1,,9.55,1,9.55,9.55,IC50,F,cell-based format,cell_based,8,H,2012,,526.7430000000003,7.477700000000008,78.87,2,4,13,3,2,0.5333333333333333,0.20893090522827923
CHEMBL253310,CHEMBL253310,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCc1ccc(NS(=O)(=O)C(F)(F)F)cc1,,9.52,1,9.52,9.52,EC50,F,cell-based format,cell_based,9,D,2008,,523.4800000000001,5.328820000000003,88.16,2,5,6,3,3,0.2,0.42791176507036033
CHEMBL2088422,CHEMBL2088422,COc1cccc(NC(=O)N(CCCCC2CCCCC2)CCc2ccc(SC(C)(C)C(=O)O)cc2)c1,,9.23,1,9.23,9.23,IC50,F,cell-based format,cell_based,8,H,2012,,526.7430000000004,7.4777000000000085,78.87,2,4,13,3,2,0.5333333333333333,0.20893090522827923
CHEMBL468159,CHEMBL468159,Cc1ccc(-c2nc(COc3ccc(C[C@H]4CO[C@@](C)(C(=O)O)OC4)cc3)c(C)o2)s1,,9.22,1,9.22,9.22,EC50,F,cell-based format,cell_based,8,H,2008,,443.5210000000002,4.605240000000004,91.02000000000001,1,7,7,4,3,0.391304347826087,0.5703073762529605
CHEMBL5409347,CHEMBL5409347,Cc1cc(CN2C(=O)CN(c3ccc(OC(F)(F)F)cc3)C2=O)cc(C)c1OC(C)(C)C(=O)O,,9.22,1,9.22,9.22,EC50,B,cell-based format,cell_based,9,D,2023,,480.43900000000025,4.412840000000004,96.38000000000001,1,5,7,3,2,0.34782608695652173,0.590009764276138
CHEMBL5417169,CHEMBL5417169,Cc1cc(CN2C(=O)CN(c3ccc(C(F)(F)F)cc3)C2=O)cc(C)c1OC(C)(C)C(=O)O,,9.15,1,9.15,9.15,EC50,B,cell-based format,cell_based,9,D,2023,,464.4400000000002,4.533040000000003,87.15000000000002,1,4,6,3,2,0.34782608695652173,0.6349573323050343
CHEMBL5433219,CHEMBL5433219,Cc1cc(CN2C(=O)CN(c3ccc(C(C)C)cc3)C2=O)cc(C)c1OC(C)(C)C(=O)O,,9.1,1,9.1,9.1,EC50,B,cell-based format,cell_based,9,D,2023,,438.5240000000003,4.637640000000004,87.15000000000002,1,4,7,3,2,0.4,0.6366791182765997
CHEMBL4866115,CHEMBL4866115,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)n(Cc3ccc(C)cc3)c2=O)cc1,,9.07,1,9.07,9.07,EC50,B,cell-based format,cell_based,9,D,2021,,513.6380000000003,5.175540000000004,86.35,1,4,11,4,4,0.3225806451612903,0.2988449636673613
CHEMBL4861761,CHEMBL4861761,COc1ccc(Cn2c(CCCc3ccc(OC(C)(C)C(=O)O)cc3)nn(Cc3ccc(C)cc3)c2=O)cc1,,9.06,1,9.06,9.06,EC50,B,cell-based format,cell_based,9,D,2021,,529.6370000000003,4.875720000000004,95.57999999999998,1,5,12,4,4,0.3225806451612903,0.2812142375178938
CHEMBL5400319,CHEMBL5400319,Cc1cc(CN2C(=O)CN(c3ccc(-c4ccccc4)cc3)C2=O)cc(C)c1OC(C)(C)C(=O)O,,9.05,1,9.05,9.05,EC50,B,cell-based format,cell_based,9,D,2023,,472.5410000000003,5.181240000000004,87.15000000000002,1,4,7,4,3,0.25,0.47889197642715203
CHEMBL4879102,CHEMBL4879102,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)n(Cc3ccc(F)cc3)c2=O)cc1,,9.02,1,9.02,9.02,EC50,B,cell-based format,cell_based,9,D,2021,,517.6010000000002,5.006220000000004,86.35,1,4,11,4,4,0.3,0.30243539429448757
CHEMBL5406894,CHEMBL5406894,CCc1ccc(N2CC(=O)N(Cc3cc(C)c(OC(C)(C)C(=O)O)c(C)c3)C2=O)cc1,,9.0,1,9.0,9.0,EC50,B,cell-based format,cell_based,9,D,2023,,424.4970000000002,4.076640000000003,87.15,1,4,7,3,2,0.375,0.6770732976111778
CHEMBL4855604,CHEMBL4855604,COc1cccc(Cn2c(CCCc3ccc(OC(C)(C)C(=O)O)cc3)nn(Cc3ccc(C)cc3)c2=O)c1,,9.0,1,9.0,9.0,EC50,B,cell-based format,cell_based,9,D,2021,,529.6370000000002,4.875720000000005,95.57999999999998,1,5,12,4,4,0.3225806451612903,0.2812142375178938
CHEMBL5402111,CHEMBL5402111,Cc1cc(CN2C(=O)CN(c3ccc(C(F)(F)F)c(Cl)c3)C2=O)cc(C)c1OC(C)(C)C(=O)O,,9.0,1,9.0,9.0,EC50,B,cell-based format,cell_based,9,D,2023,,498.8850000000003,5.186440000000005,87.15000000000002,1,4,6,3,2,0.34782608695652173,0.5540229623132156
CHEMBL4847453,CHEMBL4847453,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)n(Cc3ccc(Cl)cc3)c2=O)cc1,,9.0,1,9.0,9.0,EC50,B,cell-based format,cell_based,9,D,2021,,534.0560000000003,5.520520000000005,86.35,1,4,11,4,4,0.3,0.2741620247073802
CHEMBL246070,CHEMBL246070,CCC(Oc1cccc(CN(CCCOc2ccc(C)cc2)c2nc3ccccc3o2)c1)C(=O)O,,9.0,1,9.0,9.0,EC50,F,assay format,other,9,D,2007,,474.55700000000013,5.853920000000006,85.03000000000002,1,6,12,4,4,0.2857142857142857,0.25768269294894436
CHEMBL481550,CHEMBL481550,Cc1ccc(-c2nc(CCCCCCO/N=C(/CCC(=O)O)c3ccccc3)c(C)o2)cc1,,9.0,1,9.0,9.0,EC50,F,cell-based format,cell_based,9,D,2008,,448.5630000000001,6.347040000000006,84.92,1,5,13,3,3,0.37037037037037035,0.18711491227207797
CHEMBL247951,CHEMBL247951,CC[C@@H](Oc1cccc(CN(CCCOc2ccc(OC)cc2)c2nc3ccccc3o2)c1)C(=O)O,PEMAFIBRATE,9.0,1,9.0,9.0,EC50,F,assay format,other,9,D,2007,4,490.55600000000015,5.554100000000006,94.26,1,7,13,4,4,0.2857142857142857,0.243729850723673
CHEMBL246281,CHEMBL246281,CCC(Oc1cccc(CN(CCCOc2ccc(C)c(C)c2)c2nc3ccccc3o2)c1)C(=O)O,,9.0,1,9.0,9.0,EC50,F,assay format,other,9,D,2007,,488.5840000000002,6.162340000000007,85.03000000000002,1,6,12,4,4,0.3103448275862069,0.2389891558103347
CHEMBL427701,CHEMBL427701,CCC(Oc1cccc(CN(CCCOc2ccc(C)cc2C)c2nc3ccccc3o2)c1)C(=O)O,,9.0,1,9.0,9.0,EC50,F,assay format,other,9,D,2007,,488.5840000000002,6.162340000000007,85.03000000000002,1,6,12,4,4,0.3103448275862069,0.2389891558103347
CHEMBL456912,CHEMBL456912,COC(=O)c1cc2ccc(OCCc3nc(-c4ccc(C)cc4)oc3C)cc2oc1=O,,9.0,1,9.0,9.0,EC50,F,cell-based format,cell_based,9,D,2008,,419.43300000000016,4.472940000000004,91.77000000000001,0,7,6,4,4,0.20833333333333334,0.3361893368598399
CHEMBL245866,CHEMBL245866,CCC(Oc1cccc(CN(CCCOc2ccc(OC)cc2)c2nc3ccccc3o2)c1)C(=O)O,,9.0,1,9.0,9.0,EC50,F,assay format,other,9,D,2007,,490.55600000000015,5.554100000000006,94.26,1,7,13,4,4,0.2857142857142857,0.243729850723673
CHEMBL21706,CHEMBL21706,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)Nc2cc(Cl)cc(Cl)c2)cc1)C(=O)O,,9.0,1,9.0,9.0,EC50,B,cell-based format,cell_based,8,H,2001,,565.6070000000003,8.775900000000005,69.64,2,3,12,3,2,0.5172413793103449,0.19938802091019794
CHEMBL2237300,CHEMBL2237300,Cc1oc(C2CCCCC2)nc1CCOc1ccc(C[C@H](Oc2ccccc2)C(=O)O)cc1,,9.0,1,9.0,9.0,EC50,B,single protein format,single_protein,9,D,2012,,449.54700000000014,5.726920000000005,81.79,1,5,10,4,3,0.4074074074074074,0.42582876734605307
CHEMBL1494365,CHEMBL1494365,CCCCCOC(=O)c1ccc(NC(=O)c2cccc(NC(=O)c3ccccc3C(=O)O)c2)cc1,,8.96,1,8.96,8.96,EC50,B,cell-based format,cell_based,9,D,2015,,474.5130000000002,5.236400000000003,121.8,3,5,10,3,3,0.18518518518518517,0.272985910346354
CHEMBL512084,CHEMBL512084,Cc1oc(-c2ccccc2)nc1COc1ccc(C[C@H]2CO[C@@](C)(C(=O)O)OC2)cc1,,8.96,1,8.96,8.96,EC50,F,cell-based format,cell_based,8,H,2008,,423.4650000000002,4.235320000000002,91.02000000000001,1,6,7,4,3,0.3333333333333333,0.607836615084592
CHEMBL230705,CHEMBL230705,CCCCO/N=C(\C)C(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,,8.89,1,8.89,8.89,EC50,F,cell-based format,cell_based,9,D,2007,,464.5620000000001,5.707420000000005,94.15,1,6,13,3,3,0.37037037037037035,0.1978571350377023
CHEMBL5750266,CHEMBL5750266,COc1ccc2cc(C(=O)/C=C/c3cc(C)c(OC(C)(C)C(=O)O)c(C)c3)c(OC)nc2c1,,8.88,1,8.88,8.88,EC50,B,cell-based format,cell_based,8,H,2022,,449.5030000000002,5.006940000000004,94.95,1,6,8,3,3,0.2692307692307692,0.3815911931365004
CHEMBL424685,CHEMBL424685,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(C3CCCCC3)cc2Cl)cc1)C(=O)O,,8.85,2,8.7,9.0,EC50;IC50,B;F,cell-based format;single protein format,mixed,9,D,2006,,459.0260000000002,7.279000000000007,55.760000000000005,1,3,11,3,2,0.5185185185185185,0.35923894072578566
CHEMBL5401474,CHEMBL5401474,Cc1cc(N2CC(=O)N(Cc3cc(C)c(OC(C)(C)C(=O)O)c(C)c3)C2=O)ccc1OC(F)(F)F,,8.85,1,8.85,8.85,EC50,B,cell-based format,cell_based,9,D,2023,,494.4660000000002,4.7212600000000045,96.38000000000001,1,5,7,3,2,0.375,0.5598429408106543
